,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
8.10.2023_Bayer Leverkusen_FC Koln_3_0,8.10.2023,Bayer Leverkusen,FC Koln,3,0,1.29,5.8,10.38,,,,1.28,6.1,10.5,1.3,5.5,10.25,,,
7.10.2023_Werder Bremen_Hoffenheim_2_3,7.10.2023,Werder Bremen,Hoffenheim,2,3,2.68,3.73,2.5,,,,2.7,3.85,2.45,2.65,3.6,2.55,,,
7.10.2023_Dortmund_Union Berlin_4_2,7.10.2023,Dortmund,Union Berlin,4,2,1.74,4.03,4.6,,,,1.72,4.1,4.7,1.75,3.95,4.5,,,
7.10.2023_Augsburg_Darmstadt_1_2,7.10.2023,Augsburg,Darmstadt,1,2,1.84,3.73,4.32,,,,1.85,3.75,4.3,1.82,3.7,4.35,,,
7.10.2023_RB Leipzig_Bochum_0_0,7.10.2023,RB Leipzig,Bochum,0,0,1.3,5.75,9.93,,,,1.29,6.1,9.6,1.3,5.4,10.25,,,
7.10.2023_Stuttgart_Wolfsburg_3_1,7.10.2023,Stuttgart,Wolfsburg,3,1,1.92,3.7,3.98,,,,1.95,3.65,3.95,1.88,3.75,4.0,,,
6.10.2023_B. Monchengladbach_Mainz_2_2,6.10.2023,B. Monchengladbach,Mainz,2,2,2.2,3.68,3.15,,,,2.25,3.7,3.1,2.15,3.65,3.2,,,
1.10.2023_Freiburg_Augsburg_2_0,1.10.2023,Freiburg,Augsburg,2,0,1.88,3.7,4.18,,,,1.9,3.7,4.2,1.85,3.7,4.15,,,
20.8.2023_Union Berlin_Mainz_4_1,20.8.2023,Union Berlin,Mainz,4,1,2.15,3.35,3.55,,,,2.15,3.35,3.55,,,,,,
19.8.2023_Dortmund_FC Koln_1_0,19.8.2023,Dortmund,FC Koln,1,0,1.52,4.8,5.7,,,,1.52,4.8,5.7,,,,,,
