,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
27.5.2024_0_pen._–_Bochum,27.5.2024,0,pen.,–,Bochum,2.04,3.67,3.3,,,,2.0,3.6,3.15,2.07,3.7,3.35,,,
23.5.2024_Bochum_Dusseldorf_0_3,23.5.2024,Bochum,Dusseldorf,0,3,2.15,3.47,3.22,,,,2.09,3.4,3.15,2.18,3.55,3.25,,,
18.5.2024_Bayer Leverkusen_Augsburg_2_1,18.5.2024,Bayer Leverkusen,Augsburg,2,1,1.19,7.3,12.5,,,,1.2,7.0,12.0,1.19,7.4,13.0,,,
18.5.2024_Dortmund_Darmstadt_4_0,18.5.2024,Dortmund,Darmstadt,4,0,1.13,9.67,17.83,,,,1.13,10.0,17.0,1.13,9.0,18.0,,,
18.5.2024_Eintracht Frankfurt_RB Leipzig_2_2,18.5.2024,Eintracht Frankfurt,RB Leipzig,2,2,2.28,3.7,2.9,,,,2.27,3.7,2.9,2.32,3.65,2.9,,,
18.5.2024_Heidenheim_FC Koln_4_1,18.5.2024,Heidenheim,FC Koln,4,1,2.09,3.9,3.13,,,,2.09,4.0,3.1,2.1,3.9,3.15,,,
18.5.2024_Hoffenheim_Bayern Munich_4_2,18.5.2024,Hoffenheim,Bayern Munich,4,2,3.38,4.29,1.91,,,,3.4,4.33,1.91,3.3,4.3,1.95,,,
18.5.2024_Union Berlin_Freiburg_2_1,18.5.2024,Union Berlin,Freiburg,2,1,1.9,3.68,3.9,,,,1.88,3.7,4.0,1.93,3.65,3.9,,,
18.5.2024_Stuttgart_B. Monchengladbach_4_0,18.5.2024,Stuttgart,B. Monchengladbach,4,0,1.24,6.9,10.25,,,,1.22,7.5,10.0,1.27,6.4,9.75,,,
18.5.2024_Werder Bremen_Bochum_4_1,18.5.2024,Werder Bremen,Bochum,4,1,2.11,3.75,3.22,,,,2.11,3.8,3.2,2.15,3.7,3.2,,,
18.5.2024_Wolfsburg_Mainz_1_3,18.5.2024,Wolfsburg,Mainz,1,3,3.2,3.47,2.21,,,,3.2,3.5,2.2,3.2,3.5,2.2,,,
12.5.2024_Bochum_Bayer Leverkusen_0_5,12.5.2024,Bochum,Bayer Leverkusen,0,5,4.29,4.0,1.75,,,,4.33,4.0,1.76,4.25,4.05,1.75,,,
12.5.2024_Bayern Munich_Wolfsburg_2_0,12.5.2024,Bayern Munich,Wolfsburg,2,0,1.48,4.75,5.97,,,,1.5,4.75,5.5,1.5,4.7,5.9,,,
12.5.2024_Darmstadt_Hoffenheim_0_6,12.5.2024,Darmstadt,Hoffenheim,0,6,4.98,4.63,1.56,,,,4.75,4.5,1.59,4.85,4.75,1.57,,,
11.5.2024_Mainz_Dortmund_3_0,11.5.2024,Mainz,Dortmund,3,0,1.91,4.02,3.57,,,,1.91,4.0,3.6,1.87,4.05,3.75,,,
11.5.2024_FC Koln_Union Berlin_3_2,11.5.2024,FC Koln,Union Berlin,3,2,2.61,3.33,2.68,,,,2.63,3.4,2.6,2.62,3.35,2.72,,,
11.5.2024_B. Monchengladbach_Eintracht Frankfurt_1_1,11.5.2024,B. Monchengladbach,Eintracht Frankfurt,1,1,2.63,3.58,2.52,,,,2.63,3.5,2.55,2.65,3.65,2.5,,,
11.5.2024_Freiburg_Heidenheim_1_1,11.5.2024,Freiburg,Heidenheim,1,1,1.75,3.92,4.41,,,,1.77,4.0,4.33,1.75,3.85,4.5,,,
11.5.2024_RB Leipzig_Werder Bremen_1_1,11.5.2024,RB Leipzig,Werder Bremen,1,1,1.38,5.35,7.13,,,,1.37,5.5,7.0,1.38,5.4,7.3,,,
10.5.2024_Augsburg_Stuttgart_0_1,10.5.2024,Augsburg,Stuttgart,0,1,4.05,4.32,1.74,,,,4.0,4.5,1.74,4.1,4.25,1.75,,,
5.5.2024_Heidenheim_Mainz_1_1,5.5.2024,Heidenheim,Mainz,1,1,2.89,3.42,2.39,,,,2.8,3.4,2.4,2.92,3.45,2.4,,,
5.5.2024_Eintracht Frankfurt_Bayer Leverkusen_1_5,5.5.2024,Eintracht Frankfurt,Bayer Leverkusen,1,5,2.85,3.42,2.41,,,,2.8,3.4,2.4,2.87,3.5,2.42,,,
5.5.2024_Union Berlin_Bochum_3_4,5.5.2024,Union Berlin,Bochum,3,4,1.98,3.47,3.88,,,,1.99,3.5,3.8,2.0,3.45,3.9,,,
4.5.2024_FC Koln_Freiburg_0_0,4.5.2024,FC Koln,Freiburg,0,0,2.44,3.55,2.75,,,,2.45,3.5,2.77,2.42,3.65,2.75,,,
4.5.2024_Dortmund_Augsburg_5_1,4.5.2024,Dortmund,Augsburg,5,1,1.99,4.03,3.27,,,,2.02,4.0,3.2,2.02,4.05,3.25,,,
4.5.2024_Stuttgart_Bayern Munich_3_1,4.5.2024,Stuttgart,Bayern Munich,3,1,2.59,3.75,2.49,,,,2.63,3.7,2.45,2.55,3.8,2.55,,,
4.5.2024_Werder Bremen_B. Monchengladbach_2_2,4.5.2024,Werder Bremen,B. Monchengladbach,2,2,2.11,3.65,3.25,,,,2.15,3.6,3.2,2.12,3.7,3.2,,,
4.5.2024_Wolfsburg_Darmstadt_3_0,4.5.2024,Wolfsburg,Darmstadt,3,0,1.29,5.87,9.58,,,,1.29,6.0,9.5,1.3,5.7,9.75,,,
3.5.2024_Hoffenheim_RB Leipzig_1_1,3.5.2024,Hoffenheim,RB Leipzig,1,1,5.12,4.93,1.52,,,,5.0,5.0,1.51,5.0,4.9,1.55,,,
28.4.2024_Darmstadt_Heidenheim_0_1,28.4.2024,Darmstadt,Heidenheim,0,1,3.17,3.63,2.17,,,,3.2,3.7,2.12,3.15,3.65,2.2,,,
28.4.2024_Mainz_FC Koln_1_1,28.4.2024,Mainz,FC Koln,1,1,1.56,4.24,5.67,,,,1.56,4.33,5.5,1.57,4.25,5.7,,,
28.4.2024_B. Monchengladbach_Union Berlin_0_0,28.4.2024,B. Monchengladbach,Union Berlin,0,0,2.51,3.37,2.79,,,,2.5,3.4,2.8,2.52,3.35,2.82,,,
27.4.2024_Bayer Leverkusen_Stuttgart_2_2,27.4.2024,Bayer Leverkusen,Stuttgart,2,2,1.85,3.85,3.88,,,,1.87,3.8,3.8,1.85,3.85,4.0,,,
27.4.2024_Augsburg_Werder Bremen_0_3,27.4.2024,Augsburg,Werder Bremen,0,3,1.71,4.25,4.33,,,,1.7,4.25,4.33,1.72,4.25,4.3,,,
27.4.2024_Bayern Munich_Eintracht Frankfurt_2_1,27.4.2024,Bayern Munich,Eintracht Frankfurt,2,1,1.44,4.93,6.23,,,,1.45,5.0,6.0,1.45,4.9,6.3,,,
27.4.2024_Freiburg_Wolfsburg_1_2,27.4.2024,Freiburg,Wolfsburg,1,2,2.28,3.4,3.12,,,,2.26,3.5,3.1,2.3,3.4,3.1,,,
27.4.2024_RB Leipzig_Dortmund_4_1,27.4.2024,RB Leipzig,Dortmund,4,1,1.62,4.48,4.78,,,,1.63,4.5,4.75,1.62,4.5,4.8,,,
26.4.2024_Bochum_Hoffenheim_3_2,26.4.2024,Bochum,Hoffenheim,3,2,2.15,3.88,3.0,,,,2.2,3.8,2.9,2.12,4.05,3.0,,,
21.4.2024_Freiburg_Mainz_1_1,21.4.2024,Freiburg,Mainz,1,1,2.89,3.43,2.38,,,,2.8,3.4,2.4,2.9,3.5,2.4,,,
21.4.2024_Dortmund_Bayer Leverkusen_1_1,21.4.2024,Dortmund,Bayer Leverkusen,1,1,2.67,3.43,2.58,,,,2.63,3.5,2.6,2.7,3.4,2.57,,,
21.4.2024_Werder Bremen_Stuttgart_2_1,21.4.2024,Werder Bremen,Stuttgart,2,1,4.5,4.17,1.7,,,,4.5,4.25,1.69,4.4,4.2,1.72,,,
20.4.2024_Union Berlin_Bayern Munich_1_5,20.4.2024,Union Berlin,Bayern Munich,1,5,4.72,3.95,1.7,,,,4.75,4.0,1.69,4.7,3.85,1.72,,,
20.4.2024_FC Koln_Darmstadt_0_2,20.4.2024,FC Koln,Darmstadt,0,2,1.47,4.53,6.6,,,,1.48,4.5,6.5,1.47,4.55,6.7,,,
20.4.2024_Heidenheim_RB Leipzig_1_2,20.4.2024,Heidenheim,RB Leipzig,1,2,6.03,4.85,1.48,,,,6.0,5.0,1.48,5.9,4.75,1.5,,,
20.4.2024_Hoffenheim_B. Monchengladbach_4_3,20.4.2024,Hoffenheim,B. Monchengladbach,4,3,2.24,3.78,2.94,,,,2.27,3.8,2.9,2.2,3.8,3.0,,,
20.4.2024_Wolfsburg_Bochum_1_0,20.4.2024,Wolfsburg,Bochum,1,0,1.96,3.53,3.87,,,,1.98,3.5,3.8,1.98,3.55,3.85,,,
19.4.2024_Eintracht Frankfurt_Augsburg_3_1,19.4.2024,Eintracht Frankfurt,Augsburg,3,1,1.95,3.83,3.58,,,,1.99,3.8,3.5,1.95,3.85,3.6,,,
14.4.2024_Bayer Leverkusen_Werder Bremen_5_0,14.4.2024,Bayer Leverkusen,Werder Bremen,5,0,1.22,6.7,12.42,,,,1.2,7.0,13.0,1.26,6.3,10.25,,,
14.4.2024_Darmstadt_Freiburg_0_1,14.4.2024,Darmstadt,Freiburg,0,1,4.47,3.97,1.73,,,,4.5,4.0,1.73,4.5,4.0,1.72,,,
13.4.2024_Stuttgart_Eintracht Frankfurt_3_0,13.4.2024,Stuttgart,Eintracht Frankfurt,3,0,1.46,4.78,6.13,,,,1.45,5.0,6.0,1.5,4.5,6.1,,,
13.4.2024_B. Monchengladbach_Dortmund_1_2,13.4.2024,B. Monchengladbach,Dortmund,1,2,3.28,3.75,2.08,,,,3.2,3.8,2.11,3.25,3.75,2.1,,,
13.4.2024_Bayern Munich_FC Koln_2_0,13.4.2024,Bayern Munich,FC Koln,2,0,1.21,6.73,12.67,,,,1.22,6.5,11.0,1.21,6.5,13.5,,,
13.4.2024_Bochum_Heidenheim_1_1,13.4.2024,Bochum,Heidenheim,1,1,2.07,3.57,3.43,,,,2.1,3.6,3.4,2.07,3.55,3.45,,,
13.4.2024_Mainz_Hoffenheim_4_1,13.4.2024,Mainz,Hoffenheim,4,1,1.81,3.93,4.03,,,,1.85,3.8,4.0,1.8,4.0,4.05,,,
13.4.2024_RB Leipzig_Wolfsburg_3_0,13.4.2024,RB Leipzig,Wolfsburg,3,0,1.27,5.9,10.25,,,,1.29,5.5,9.5,1.28,6.1,9.75,,,
1.3.2024_Freiburg_Bayern Munich_2_2,1.3.2024,Freiburg,Bayern Munich,2,2,5.8,4.68,1.51,,,,6.0,4.75,1.48,5.6,4.6,1.53,,,
25.2.2024_Augsburg_Freiburg_2_1,25.2.2024,Augsburg,Freiburg,2,1,2.4,3.53,2.83,,,,2.4,3.5,2.8,2.4,3.55,2.85,,,
25.2.2024_Dortmund_Hoffenheim_2_3,25.2.2024,Dortmund,Hoffenheim,2,3,1.46,5.0,5.7,,,,1.45,5.0,5.5,1.47,5.0,5.9,,,
25.2.2024_Eintracht Frankfurt_Wolfsburg_2_2,25.2.2024,Eintracht Frankfurt,Wolfsburg,2,2,2.48,3.38,2.89,,,,2.45,3.4,2.9,2.5,3.35,2.87,,,
24.2.2024_Bayern Munich_RB Leipzig_2_1,24.2.2024,Bayern Munich,RB Leipzig,2,1,1.77,4.3,3.95,,,,1.78,4.25,3.8,1.75,4.35,4.1,,,
24.2.2024_B. Monchengladbach_Bochum_5_2,24.2.2024,B. Monchengladbach,Bochum,5,2,2.17,3.58,3.23,,,,2.16,3.6,3.2,2.18,3.55,3.25,,,
24.2.2024_Union Berlin_Heidenheim_2_2,24.2.2024,Union Berlin,Heidenheim,2,2,1.88,3.5,4.38,,,,1.91,3.5,4.25,1.85,3.5,4.5,,,
24.2.2024_Stuttgart_FC Koln_1_1,24.2.2024,Stuttgart,FC Koln,1,1,1.35,5.15,8.25,,,,1.36,5.0,8.0,1.34,5.3,8.5,,,
24.2.2024_Werder Bremen_Darmstadt_1_1,24.2.2024,Werder Bremen,Darmstadt,1,1,1.76,3.85,4.47,,,,1.76,3.8,4.5,1.75,3.9,4.45,,,
23.2.2024_Bayer Leverkusen_Mainz_2_1,23.2.2024,Bayer Leverkusen,Mainz,2,1,1.31,5.5,9.5,,,,1.31,5.5,9.5,1.31,5.5,9.5,,,
18.2.2024_Bochum_Bayern Munich_3_2,18.2.2024,Bochum,Bayern Munich,3,2,6.8,5.05,1.4,,,,6.5,5.0,1.4,7.1,5.1,1.4,,,
18.2.2024_Freiburg_Eintracht Frankfurt_3_3,18.2.2024,Freiburg,Eintracht Frankfurt,3,3,2.45,3.33,2.93,,,,2.45,3.3,2.9,2.45,3.35,2.95,,,
17.2.2024_RB Leipzig_B. Monchengladbach_2_0,17.2.2024,RB Leipzig,B. Monchengladbach,2,0,1.34,5.45,8.0,,,,1.32,5.5,8.0,1.35,5.4,8.0,,,
17.2.2024_Darmstadt_Stuttgart_1_2,17.2.2024,Darmstadt,Stuttgart,1,2,6.55,4.63,1.45,,,,6.5,4.75,1.43,6.6,4.5,1.47,,,
17.2.2024_Heidenheim_Bayer Leverkusen_1_2,17.2.2024,Heidenheim,Bayer Leverkusen,1,2,7.7,4.85,1.39,,,,7.5,5.0,1.38,7.9,4.7,1.4,,,
17.2.2024_Hoffenheim_Union Berlin_0_1,17.2.2024,Hoffenheim,Union Berlin,0,1,1.92,3.65,4.0,,,,1.91,3.7,4.0,1.93,3.6,4.0,,,
17.2.2024_Mainz_Augsburg_1_0,17.2.2024,Mainz,Augsburg,1,0,1.95,3.55,3.85,,,,1.95,3.6,3.8,1.95,3.5,3.9,,,
17.2.2024_Wolfsburg_Dortmund_1_1,17.2.2024,Wolfsburg,Dortmund,1,1,3.22,3.83,2.09,,,,3.3,3.8,2.05,3.15,3.85,2.12,,,
16.2.2024_FC Koln_Werder Bremen_0_1,16.2.2024,FC Koln,Werder Bremen,0,1,2.45,3.25,2.98,,,,2.45,3.2,3.0,2.45,3.3,2.95,,,
