,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
21.1.2023_Bochum_Hertha Berlin_3_1,21.1.2023,Bochum,Hertha Berlin,3,1,2.3,3.5,3.0,,,,,,,,,,,,
21.1.2023_Eintracht Frankfurt_Schalke_3_0,21.1.2023,Eintracht Frankfurt,Schalke,3,0,1.33,5.0,8.5,,,,,,,,,,,,
21.1.2023_Union Berlin_Hoffenheim_3_1,21.1.2023,Union Berlin,Hoffenheim,3,1,2.2,3.25,3.5,,,,,,,,,,,,
21.1.2023_Stuttgart_Mainz_1_1,21.1.2023,Stuttgart,Mainz,1,1,2.3,3.5,3.1,,,,,,,,,,,,
21.1.2023_Wolfsburg_Freiburg_6_0,21.1.2023,Wolfsburg,Freiburg,6,0,2.2,3.3,3.4,,,,,,,,,,,,
20.1.2023_RB Leipzig_Bayern Munich_1_1,20.1.2023,RB Leipzig,Bayern Munich,1,1,3.5,4.33,1.91,,,,,,,,,,,,
13.11.2022_Freiburg_Union Berlin_4_1,13.11.2022,Freiburg,Union Berlin,4,1,2.05,3.1,4.2,,,,,,,,,,,,
13.11.2022_Mainz_Eintracht Frankfurt_1_1,13.11.2022,Mainz,Eintracht Frankfurt,1,1,2.62,3.5,2.6,,,,,,,,,,,,
12.11.2022_Schalke_Bayern Munich_0_2,12.11.2022,Schalke,Bayern Munich,0,2,12.0,6.5,1.25,,,,,,,,,,,,
12.11.2022_Augsburg_Bochum_0_1,12.11.2022,Augsburg,Bochum,0,1,2.45,3.3,2.9,,,,,,,,,,,,
12.11.2022_Bayer Leverkusen_Stuttgart_2_0,12.11.2022,Bayer Leverkusen,Stuttgart,2,0,1.83,3.8,4.2,,,,,,,,,,,,
12.11.2022_Hertha Berlin_FC Koln_2_0,12.11.2022,Hertha Berlin,FC Koln,2,0,2.5,3.4,2.75,,,,,,,,,,,,
12.11.2022_Hoffenheim_Wolfsburg_1_2,12.11.2022,Hoffenheim,Wolfsburg,1,2,2.0,3.8,3.4,,,,,,,,,,,,
12.11.2022_Werder Bremen_RB Leipzig_1_2,12.11.2022,Werder Bremen,RB Leipzig,1,2,3.75,4.0,1.9,,,,,,,,,,,,
11.11.2022_B. Monchengladbach_Dortmund_4_2,11.11.2022,B. Monchengladbach,Dortmund,4,2,3.3,4.2,2.1,,,,,,,,,,,,
9.11.2022_Eintracht Frankfurt_Hoffenheim_4_2,9.11.2022,Eintracht Frankfurt,Hoffenheim,4,2,1.61,4.2,5.0,,,,,,,,,,,,
9.11.2022_RB Leipzig_Freiburg_3_1,9.11.2022,RB Leipzig,Freiburg,3,1,1.75,3.8,4.75,,,,,,,,,,,,
9.11.2022_Schalke_Mainz_1_0,9.11.2022,Schalke,Mainz,1,0,3.3,3.75,2.1,,,,,,,,,,,,
9.11.2022_Union Berlin_Augsburg_2_2,9.11.2022,Union Berlin,Augsburg,2,2,1.7,3.75,5.0,,,,,,,,,,,,
9.11.2022_FC Koln_Bayer Leverkusen_1_2,9.11.2022,FC Koln,Bayer Leverkusen,1,2,3.0,3.6,2.25,,,,,,,,,,,,
8.11.2022_Bayern Munich_Werder Bremen_6_1,8.11.2022,Bayern Munich,Werder Bremen,6,1,1.16,8.5,13.0,,,,,,,,,,,,
8.11.2022_Bochum_B. Monchengladbach_2_1,8.11.2022,Bochum,B. Monchengladbach,2,1,2.7,3.4,2.62,,,,,,,,,,,,
8.11.2022_Stuttgart_Hertha Berlin_2_1,8.11.2022,Stuttgart,Hertha Berlin,2,1,2.05,3.6,3.5,,,,,,,,,,,,
8.11.2022_Wolfsburg_Dortmund_2_0,8.11.2022,Wolfsburg,Dortmund,2,0,2.8,3.5,2.3,,,,,,,,,,,,
6.11.2022_Freiburg_FC Koln_2_0,6.11.2022,Freiburg,FC Koln,2,0,1.61,4.0,5.25,,,,,,,,,,,,
6.11.2022_Bayer Leverkusen_Union Berlin_5_0,6.11.2022,Bayer Leverkusen,Union Berlin,5,0,2.25,3.1,3.4,,,,,,,,,,,,
5.11.2022_Werder Bremen_Schalke_2_1,5.11.2022,Werder Bremen,Schalke,2,1,1.55,4.75,5.0,,,,,,,,,,,,
5.11.2022_Augsburg_Eintracht Frankfurt_1_2,5.11.2022,Augsburg,Eintracht Frankfurt,1,2,4.2,4.0,1.75,,,,,,,,,,,,
5.11.2022_Dortmund_Bochum_3_0,5.11.2022,Dortmund,Bochum,3,0,1.28,6.0,9.0,,,,,,,,,,,,
5.11.2022_Hertha Berlin_Bayern Munich_2_3,5.11.2022,Hertha Berlin,Bayern Munich,2,3,10.0,6.5,1.25,,,,,,,,,,,,
5.11.2022_Hoffenheim_RB Leipzig_1_3,5.11.2022,Hoffenheim,RB Leipzig,1,3,2.62,3.75,2.45,,,,,,,,,,,,
5.11.2022_Mainz_Wolfsburg_0_3,5.11.2022,Mainz,Wolfsburg,0,3,2.0,3.6,3.6,,,,,,,,,,,,
4.11.2022_B. Monchengladbach_Stuttgart_3_1,4.11.2022,B. Monchengladbach,Stuttgart,3,1,2.25,3.75,2.9,,,,,,,,,,,,
30.10.2022_FC Koln_Hoffenheim_1_1,30.10.2022,FC Koln,Hoffenheim,1,1,3.2,3.6,2.15,,,,,,,,,,,,
30.10.2022_Schalke_Freiburg_0_2,30.10.2022,Schalke,Freiburg,0,2,4.0,3.6,1.85,,,,,,,,,,,,
30.10.2022_Union Berlin_B. Monchengladbach_2_1,30.10.2022,Union Berlin,B. Monchengladbach,2,1,1.9,3.4,4.2,,,,,,,,,,,,
29.10.2022_Eintracht Frankfurt_Dortmund_1_2,29.10.2022,Eintracht Frankfurt,Dortmund,1,2,2.55,3.75,2.6,,,,,,,,,,,,
29.10.2022_Bayern Munich_Mainz_6_2,29.10.2022,Bayern Munich,Mainz,6,2,1.22,7.0,12.0,,,,,,,,,,,,
29.10.2022_RB Leipzig_Bayer Leverkusen_2_0,29.10.2022,RB Leipzig,Bayer Leverkusen,2,0,1.61,4.0,5.0,,,,,,,,,,,,
29.10.2022_Stuttgart_Augsburg_2_1,29.10.2022,Stuttgart,Augsburg,2,1,1.55,4.5,5.75,,,,,,,,,,,,
29.10.2022_Wolfsburg_Bochum_4_0,29.10.2022,Wolfsburg,Bochum,4,0,1.75,4.0,4.2,,,,,,,,,,,,
28.10.2022_Werder Bremen_Hertha Berlin_1_0,28.10.2022,Werder Bremen,Hertha Berlin,1,0,2.05,3.8,3.25,,,,,,,,,,,,
23.10.2022_Hertha Berlin_Schalke_2_1,23.10.2022,Hertha Berlin,Schalke,2,1,1.72,4.0,4.5,,,,,,,,,,,,
23.10.2022_Bochum_Union Berlin_2_1,23.10.2022,Bochum,Union Berlin,2,1,4.75,3.4,1.85,,,,,,,,,,,,
22.10.2022_B. Monchengladbach_Eintracht Frankfurt_1_3,22.10.2022,B. Monchengladbach,Eintracht Frankfurt,1,3,2.62,3.6,2.5,,,,,,,,,,,,
22.10.2022_Augsburg_RB Leipzig_3_3,22.10.2022,Augsburg,RB Leipzig,3,3,4.75,4.2,1.65,,,,,,,,,,,,
22.10.2022_Bayer Leverkusen_Wolfsburg_2_2,22.10.2022,Bayer Leverkusen,Wolfsburg,2,2,1.75,4.0,4.33,,,,,,,,,,,,
22.10.2022_Dortmund_Stuttgart_5_0,22.10.2022,Dortmund,Stuttgart,5,0,1.57,4.5,5.25,,,,,,,,,,,,
22.10.2022_Freiburg_Werder Bremen_2_0,22.10.2022,Freiburg,Werder Bremen,2,0,1.9,3.75,3.8,,,,,,,,,,,,
22.10.2022_Hoffenheim_Bayern Munich_0_2,22.10.2022,Hoffenheim,Bayern Munich,0,2,5.0,4.5,1.57,,,,,,,,,,,,
21.10.2022_Mainz_FC Koln_5_0,21.10.2022,Mainz,FC Koln,5,0,2.05,3.6,3.4,,,,,,,,,,,,
16.10.2022_Bayern Munich_Freiburg_5_0,16.10.2022,Bayern Munich,Freiburg,5,0,1.4,5.25,6.0,,,,,,,,,,,,
16.10.2022_Union Berlin_Dortmund_2_0,16.10.2022,Union Berlin,Dortmund,2,0,2.9,3.3,2.45,,,,,,,,,,,,
16.10.2022_FC Koln_Augsburg_3_2,16.10.2022,FC Koln,Augsburg,3,2,1.57,4.5,5.25,,,,,,,,,,,,
15.10.2022_RB Leipzig_Hertha Berlin_3_2,15.10.2022,RB Leipzig,Hertha Berlin,3,2,1.45,5.0,6.5,,,,,,,,,,,,
15.10.2022_Eintracht Frankfurt_Bayer Leverkusen_5_1,15.10.2022,Eintracht Frankfurt,Bayer Leverkusen,5,1,2.55,3.5,2.7,,,,,,,,,,,,
15.10.2022_Stuttgart_Bochum_4_1,15.10.2022,Stuttgart,Bochum,4,1,1.7,4.0,4.75,,,,,,,,,,,,
15.10.2022_Werder Bremen_Mainz_0_2,15.10.2022,Werder Bremen,Mainz,0,2,2.2,3.6,3.1,,,,,,,,,,,,
15.10.2022_Wolfsburg_B. Monchengladbach_2_2,15.10.2022,Wolfsburg,B. Monchengladbach,2,2,2.8,3.5,2.4,,,,,,,,,,,,
14.10.2022_Schalke_Hoffenheim_0_3,14.10.2022,Schalke,Hoffenheim,0,3,3.4,3.8,2.0,,,,,,,,,,,,
9.10.2022_Stuttgart_Union Berlin_0_1,9.10.2022,Stuttgart,Union Berlin,0,1,2.9,2.9,2.7,,,,,,,,,,,,
9.10.2022_Hertha Berlin_Freiburg_2_2,9.10.2022,Hertha Berlin,Freiburg,2,2,3.2,3.4,2.25,,,,,,,,,,,,
9.10.2022_B. Monchengladbach_FC Koln_5_2,9.10.2022,B. Monchengladbach,FC Koln,5,2,2.05,3.75,3.4,,,,,,,,,,,,
8.10.2022_Dortmund_Bayern Munich_2_2,8.10.2022,Dortmund,Bayern Munich,2,2,4.0,4.5,1.72,,,,,,,,,,,,
8.10.2022_Augsburg_Wolfsburg_1_1,8.10.2022,Augsburg,Wolfsburg,1,1,2.8,3.4,2.45,,,,,,,,,,,,
8.10.2022_Bayer Leverkusen_Schalke_4_0,8.10.2022,Bayer Leverkusen,Schalke,4,0,1.36,4.75,7.5,,,,,,,,,,,,
8.10.2022_Bochum_Eintracht Frankfurt_3_0,8.10.2022,Bochum,Eintracht Frankfurt,3,0,3.75,3.8,1.9,,,,,,,,,,,,
8.10.2022_Mainz_RB Leipzig_1_1,8.10.2022,Mainz,RB Leipzig,1,1,3.2,3.6,2.2,,,,,,,,,,,,
7.10.2022_Hoffenheim_Werder Bremen_1_2,7.10.2022,Hoffenheim,Werder Bremen,1,2,1.9,4.0,3.5,,,,,,,,,,,,
2.10.2022_Schalke_Augsburg_2_3,2.10.2022,Schalke,Augsburg,2,3,1.85,3.75,4.0,,,,,,,,,,,,
2.10.2022_Hertha Berlin_Hoffenheim_1_1,2.10.2022,Hertha Berlin,Hoffenheim,1,1,2.9,3.6,2.3,,,,,,,,,,,,
1.10.2022_Werder Bremen_B. Monchengladbach_5_1,1.10.2022,Werder Bremen,B. Monchengladbach,5,1,2.5,4.0,2.5,,,,,,,,,,,,
1.10.2022_FC Koln_Dortmund_3_2,1.10.2022,FC Koln,Dortmund,3,2,3.0,3.8,2.2,,,,,,,,,,,,
1.10.2022_Eintracht Frankfurt_Union Berlin_2_0,1.10.2022,Eintracht Frankfurt,Union Berlin,2,0,2.4,3.4,3.0,,,,,,,,,,,,
1.10.2022_Freiburg_Mainz_2_1,1.10.2022,Freiburg,Mainz,2,1,2.1,3.6,3.4,,,,,,,,,,,,
1.10.2022_RB Leipzig_Bochum_4_0,1.10.2022,RB Leipzig,Bochum,4,0,1.25,6.0,10.0,,,,,,,,,,,,
1.10.2022_Wolfsburg_Stuttgart_3_2,1.10.2022,Wolfsburg,Stuttgart,3,2,2.45,3.25,2.9,,,,,,,,,,,,
30.9.2022_Bayern Munich_Bayer Leverkusen_4_0,30.9.2022,Bayern Munich,Bayer Leverkusen,4,0,1.33,6.5,7.5,,,,,,,,,,,,
18.9.2022_Hoffenheim_Freiburg_0_0,18.9.2022,Hoffenheim,Freiburg,0,0,2.15,3.5,3.25,,,,,,,,,,,,
18.9.2022_Bochum_FC Koln_1_1,18.9.2022,Bochum,FC Koln,1,1,3.3,3.8,2.05,,,,,,,,,,,,
18.9.2022_Union Berlin_Wolfsburg_2_0,18.9.2022,Union Berlin,Wolfsburg,2,0,2.05,3.4,3.5,,,,,,,,,,,,
17.9.2022_B. Monchengladbach_RB Leipzig_3_0,17.9.2022,B. Monchengladbach,RB Leipzig,3,0,3.1,3.5,2.25,,,,,,,,,,,,
17.9.2022_Dortmund_Schalke_1_0,17.9.2022,Dortmund,Schalke,1,0,1.4,4.75,7.0,,,,,,,,,,,,
17.9.2022_Augsburg_Bayern Munich_1_0,17.9.2022,Augsburg,Bayern Munich,1,0,15.0,7.5,1.18,,,,,,,,,,,,
17.9.2022_Bayer Leverkusen_Werder Bremen_1_1,17.9.2022,Bayer Leverkusen,Werder Bremen,1,1,1.61,4.33,5.0,,,,,,,,,,,,
17.9.2022_Stuttgart_Eintracht Frankfurt_1_3,17.9.2022,Stuttgart,Eintracht Frankfurt,1,3,2.6,3.25,2.8,,,,,,,,,,,,
16.9.2022_Mainz_Hertha Berlin_1_1,16.9.2022,Mainz,Hertha Berlin,1,1,1.72,4.0,4.33,,,,,,,,,,,,
11.9.2022_Freiburg_B. Monchengladbach_0_0,11.9.2022,Freiburg,B. Monchengladbach,0,0,2.1,3.75,3.2,,,,,,,,,,,,
11.9.2022_FC Koln_Union Berlin_0_1,11.9.2022,FC Koln,Union Berlin,0,1,2.37,3.4,2.9,,,,,,,,,,,,
10.9.2022_Schalke_Bochum_3_1,10.9.2022,Schalke,Bochum,3,1,2.05,3.75,3.4,,,,,,,,,,,,
10.9.2022_Bayern Munich_Stuttgart_2_2,10.9.2022,Bayern Munich,Stuttgart,2,2,1.22,6.5,12.0,,,,,,,,,,,,
10.9.2022_Eintracht Frankfurt_Wolfsburg_0_1,10.9.2022,Eintracht Frankfurt,Wolfsburg,0,1,1.9,3.75,3.8,,,,,,,,,,,,
10.9.2022_Hertha Berlin_Bayer Leverkusen_2_2,10.9.2022,Hertha Berlin,Bayer Leverkusen,2,2,4.0,4.0,1.83,,,,,,,,,,,,
10.9.2022_Hoffenheim_Mainz_4_1,10.9.2022,Hoffenheim,Mainz,4,1,2.37,3.6,2.8,,,,,,,,,,,,
10.9.2022_RB Leipzig_Dortmund_3_0,10.9.2022,RB Leipzig,Dortmund,3,0,2.37,3.8,2.7,,,,,,,,,,,,
9.9.2022_Werder Bremen_Augsburg_0_1,9.9.2022,Werder Bremen,Augsburg,0,1,1.45,4.75,6.5,,,,,,,,,,,,
4.9.2022_B. Monchengladbach_Mainz_0_1,4.9.2022,B. Monchengladbach,Mainz,0,1,2.37,3.75,2.8,,,,,,,,,,,,
4.9.2022_Augsburg_Hertha Berlin_0_2,4.9.2022,Augsburg,Hertha Berlin,0,2,2.55,3.4,2.62,,,,,,,,,,,,
3.9.2022_Eintracht Frankfurt_RB Leipzig_4_0,3.9.2022,Eintracht Frankfurt,RB Leipzig,4,0,3.4,3.6,2.1,,,,,,,,,,,,
3.9.2022_Bayer Leverkusen_Freiburg_2_3,3.9.2022,Bayer Leverkusen,Freiburg,2,3,1.75,3.8,4.33,,,,,,,,,,,,
3.9.2022_Bochum_Werder Bremen_0_2,3.9.2022,Bochum,Werder Bremen,0,2,2.9,3.75,2.25,,,,,,,,,,,,
3.9.2022_Union Berlin_Bayern Munich_1_1,3.9.2022,Union Berlin,Bayern Munich,1,1,7.0,5.0,1.4,,,,,,,,,,,,
3.9.2022_Stuttgart_Schalke_1_1,3.9.2022,Stuttgart,Schalke,1,1,1.7,4.0,4.5,,,,,,,,,,,,
3.9.2022_Wolfsburg_FC Koln_2_4,3.9.2022,Wolfsburg,FC Koln,2,4,2.15,3.4,3.4,,,,,,,,,,,,
2.9.2022_Dortmund_Hoffenheim_1_0,2.9.2022,Dortmund,Hoffenheim,1,0,1.75,4.2,4.2,,,,,,,,,,,,
28.8.2022_Werder Bremen_Eintracht Frankfurt_3_4,28.8.2022,Werder Bremen,Eintracht Frankfurt,3,4,2.37,3.6,2.87,,,,,,,,,,,,
28.8.2022_FC Koln_Stuttgart_0_0,28.8.2022,FC Koln,Stuttgart,0,0,2.37,3.5,2.8,,,,,,,,,,,,
27.8.2022_Bayern Munich_B. Monchengladbach_1_1,27.8.2022,Bayern Munich,B. Monchengladbach,1,1,1.16,8.5,13.0,,,,,,,,,,,,
27.8.2022_Hertha Berlin_Dortmund_0_1,27.8.2022,Hertha Berlin,Dortmund,0,1,4.0,4.33,1.75,,,,,,,,,,,,
27.8.2022_Hoffenheim_Augsburg_1_0,27.8.2022,Hoffenheim,Augsburg,1,0,1.4,5.0,7.0,,,,,,,,,,,,
27.8.2022_Mainz_Bayer Leverkusen_0_3,27.8.2022,Mainz,Bayer Leverkusen,0,3,2.3,3.6,2.9,,,,,,,,,,,,
27.8.2022_RB Leipzig_Wolfsburg_2_0,27.8.2022,RB Leipzig,Wolfsburg,2,0,1.53,4.75,5.5,,,,,,,,,,,,
27.8.2022_Schalke_Union Berlin_1_6,27.8.2022,Schalke,Union Berlin,1,6,3.1,3.4,2.3,,,,,,,,,,,,
26.8.2022_Freiburg_Bochum_1_0,26.8.2022,Freiburg,Bochum,1,0,1.53,4.33,6.0,,,,,,,,,,,,
21.8.2022_Bochum_Bayern Munich_0_7,21.8.2022,Bochum,Bayern Munich,0,7,12.0,7.5,1.2,,,,,,,,,,,,
21.8.2022_Eintracht Frankfurt_FC Koln_1_1,21.8.2022,Eintracht Frankfurt,FC Koln,1,1,2.1,3.75,3.25,,,,,,,,,,,,
20.8.2022_Union Berlin_RB Leipzig_2_1,20.8.2022,Union Berlin,RB Leipzig,2,1,3.25,3.4,2.2,,,,,,,,,,,,
20.8.2022_Augsburg_Mainz_1_2,20.8.2022,Augsburg,Mainz,1,2,3.8,3.6,1.9,,,,,,,,,,,,
20.8.2022_Bayer Leverkusen_Hoffenheim_0_3,20.8.2022,Bayer Leverkusen,Hoffenheim,0,3,1.57,4.75,4.75,,,,,,,,,,,,
20.8.2022_Dortmund_Werder Bremen_2_3,20.8.2022,Dortmund,Werder Bremen,2,3,1.4,5.0,7.0,,,,,,,,,,,,
20.8.2022_Stuttgart_Freiburg_0_1,20.8.2022,Stuttgart,Freiburg,0,1,2.62,3.6,2.55,,,,,,,,,,,,
20.8.2022_Wolfsburg_Schalke_0_0,20.8.2022,Wolfsburg,Schalke,0,0,1.83,3.8,4.0,,,,,,,,,,,,
19.8.2022_B. Monchengladbach_Hertha Berlin_1_0,19.8.2022,B. Monchengladbach,Hertha Berlin,1,0,1.53,4.5,5.75,,,,,,,,,,,,
14.8.2022_Bayern Munich_Wolfsburg_2_0,14.8.2022,Bayern Munich,Wolfsburg,2,0,1.16,8.0,15.0,,,,,,,,,,,,
14.8.2022_Mainz_Union Berlin_0_0,14.8.2022,Mainz,Union Berlin,0,0,2.25,3.25,3.4,,,,,,,,,,,,
13.8.2022_Schalke_B. Monchengladbach_2_2,13.8.2022,Schalke,B. Monchengladbach,2,2,3.1,3.8,2.1,,,,,,,,,,,,
13.8.2022_Bayer Leverkusen_Augsburg_1_2,13.8.2022,Bayer Leverkusen,Augsburg,1,2,1.3,6.0,8.5,,,,,,,,,,,,
13.8.2022_Hertha Berlin_Eintracht Frankfurt_1_1,13.8.2022,Hertha Berlin,Eintracht Frankfurt,1,1,2.9,3.6,2.3,,,,,,,,,,,,
13.8.2022_Hoffenheim_Bochum_3_2,13.8.2022,Hoffenheim,Bochum,3,2,1.55,4.5,5.25,,,,,,,,,,,,
13.8.2022_RB Leipzig_FC Koln_2_2,13.8.2022,RB Leipzig,FC Koln,2,2,1.45,5.0,6.5,,,,,,,,,,,,
13.8.2022_Werder Bremen_Stuttgart_2_2,13.8.2022,Werder Bremen,Stuttgart,2,2,2.25,3.6,3.0,,,,,,,,,,,,
12.8.2022_Freiburg_Dortmund_1_3,12.8.2022,Freiburg,Dortmund,1,3,2.9,3.75,2.25,,,,,,,,,,,,
7.8.2022_FC Koln_Schalke_3_1,7.8.2022,FC Koln,Schalke,3,1,2.05,3.75,3.4,,,,,,,,,,,,
7.8.2022_Stuttgart_RB Leipzig_1_1,7.8.2022,Stuttgart,RB Leipzig,1,1,3.6,3.6,2.0,,,,,,,,,,,,
6.8.2022_Dortmund_Bayer Leverkusen_1_0,6.8.2022,Dortmund,Bayer Leverkusen,1,0,2.0,4.1,3.2,,,,,,,,,,,,
6.8.2022_Augsburg_Freiburg_0_4,6.8.2022,Augsburg,Freiburg,0,4,3.4,3.6,2.1,,,,,,,,,,,,
6.8.2022_B. Monchengladbach_Hoffenheim_3_1,6.8.2022,B. Monchengladbach,Hoffenheim,3,1,2.0,4.0,3.2,,,,,,,,,,,,
6.8.2022_Bochum_Mainz_1_2,6.8.2022,Bochum,Mainz,1,2,3.4,3.4,2.15,,,,,,,,,,,,
6.8.2022_Union Berlin_Hertha Berlin_3_1,6.8.2022,Union Berlin,Hertha Berlin,3,1,1.85,3.6,4.2,,,,,,,,,,,,
6.8.2022_Wolfsburg_Werder Bremen_2_2,6.8.2022,Wolfsburg,Werder Bremen,2,2,2.05,3.6,3.4,,,,,,,,,,,,
5.8.2022_Eintracht Frankfurt_Bayern Munich_1_6,5.8.2022,Eintracht Frankfurt,Bayern Munich,1,6,6.0,5.0,1.44,,,,,,,,,,,,
