,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
1.12.2024_FCN_Düsseldorf_2_2,14,14,5,6,55,45,506,410,86,83,8,11,2,5,0,0,1,0,12,5
1.12.2024_KSC_HSV_1_3,21,18,4,7,48,52,408,454,82,86,8,8,4,4,0,0,2,1,7,7
6.12.2024_Elversberg_FCN_2_1,17,14,5,6,52,48,413,390,82,76,13,14,2,3,0,0,1,1,8,8
6.12.2024_SC Paderborn_Schalke_2_4,5,24,4,10,44,56,374,447,75,81,10,11,1,3,0,0,3,1,2,9
7.12.2024_Greuther Fürth_Hertha_2_1,14,12,5,3,42,58,352,488,82,84,8,11,2,3,1,0,0,3,6,10
7.12.2024_Hannover 96_SSV Ulm 1846_3_2,27,9,10,3,59,41,509,363,86,77,9,10,3,2,0,0,0,2,7,2
7.12.2024_FCK_KSC_3_1,9,10,5,1,55,45,482,393,83,81,17,19,5,1,0,0,1,3,3,3
7.12.2024_Preußen Münster_1. FC Magdeburg_1_2,14,15,3,5,39,61,291,461,69,76,14,14,3,3,0,0,1,4,3,5
8.12.2024_Jahn Regensburg_Köln_0_1,11,13,2,3,40,60,264,396,70,71,10,17,1,3,0,0,3,0,4,6
8.12.2024_Düsseldorf_BTSV_5_0,17,14,7,6,61,39,587,376,89,84,8,10,1,4,0,0,1,0,7,5
8.12.2024_HSV_Darmstadt 98_2_2,18,21,7,6,43,57,396,490,82,84,11,8,2,4,0,0,0,5,2,8
13.12.2024_KSC_Jahn Regensburg_4_2,18,14,8,5,69,31,482,223,80,67,12,17,4,2,0,0,2,1,4,0
13.12.2024_Hertha_Preußen Münster_1_2,13,13,4,3,62,38,491,303,84,75,16,14,2,4,0,0,0,0,9,2
14.12.2024_SSV Ulm 1846_HSV_1_1,15,6,4,2,49,51,443,448,78,79,14,17,3,4,0,1,1,4,5,2
14.12.2024_1. FC Magdeburg_SC Paderborn_1_1,15,12,4,6,54,46,421,350,84,75,12,11,5,1,0,0,3,1,7,7
14.12.2024_Schalke_Düsseldorf_1_1,18,7,9,3,59,41,486,352,85,78,7,11,1,4,0,0,1,3,6,2
14.12.2024_Darmstadt 98_FCK_5_1,17,10,12,3,53,47,450,407,82,81,10,12,1,2,0,0,1,0,3,4
15.12.2024_Greuther Fürth_Hannover 96_1_0,10,9,2,1,52,48,446,416,76,76,13,14,2,1,0,0,4,2,4,4
15.12.2024_BTSV_Elversberg_0_3,10,17,2,7,46,54,387,461,76,83,16,10,4,3,0,0,1,1,6,5
15.12.2024_Köln_FCN_3_1,15,16,5,4,44,56,406,493,80,84,13,11,4,2,0,0,1,1,3,4
20.12.2024_Düsseldorf_1. FC Magdeburg_2_5,12,17,6,11,38,62,345,581,83,91,8,8,1,3,1,0,1,3,4,1
20.12.2024_Elversberg_Schalke_1_4,14,15,5,5,56,44,430,347,76,71,10,10,3,1,0,0,3,0,4,1
21.12.2024_Preußen Münster_SSV Ulm 1846_0_0,6,15,1,5,44,56,269,351,74,75,17,15,4,1,0,0,3,0,1,3
21.12.2024_HSV_Greuther Fürth_5_0,14,5,9,3,54,46,545,474,88,85,16,7,2,1,0,0,1,1,3,4
21.12.2024_SC Paderborn_KSC_1_2,20,9,10,5,63,37,490,305,85,68,9,8,2,3,0,0,3,0,10,2
21.12.2024_FCN_BTSV_1_0,17,8,5,2,58,42,571,420,87,81,12,9,1,1,0,1,2,1,7,3
22.12.2024_FCK_Köln_0_1,10,10,4,6,68,32,638,313,84,75,8,10,2,3,0,0,1,3,10,5
22.12.2024_Hannover 96_Hertha_0_0,8,15,1,2,47,53,370,410,74,78,5,14,1,2,1,1,2,2,7,5
22.12.2024_Jahn Regensburg_Darmstadt 98_2_1,14,19,5,4,36,64,234,443,70,77,15,9,5,2,0,0,0,0,6,9
