,features,n_estimators,max_depth,min_samples_split,min_samples_leaf,train_acc,val_acc,train_f1,val_f1,train_mse,val_mse,train_r2,val_r2
260,rolling_form,200,,10,4,0.8822495606326889,0.5396825396825397,0.880848852039745,0.4613630637440161,1.330960922583617,2.968272675911312,0.6936207389730358,0.1985663775039458
261,rolling_form,200,10.0,2,1,0.9876977152899824,0.5185185185185185,0.9877040709377642,0.4371086061907318,0.8442601527179879,3.0539484421696392,0.8056563515011849,0.1754339206141975
262,rolling_form,200,10.0,2,2,0.9560632688927944,0.5291005291005291,0.9560768795844329,0.45190224237843274,0.9385056163398351,3.0198169865479216,0.7839616082448959,0.1846494136320611
263,rolling_form,200,10.0,2,4,0.8734622144112478,0.5185185185185185,0.8717658711168804,0.43671025895085425,1.2950467622137782,2.9581726113707436,0.7018879643496875,0.20129339492989917
264,rolling_form,200,10.0,5,1,0.961335676625659,0.5238095238095238,0.9613405888067766,0.44244105409153955,0.9607529686987586,3.0377636158185335,0.7788404005070291,0.17980382372899595
265,rolling_form,200,10.0,5,2,0.9543057996485061,0.5291005291005291,0.9542497463009203,0.45275505613851474,0.9833838770759112,3.0109200619006335,0.7736309004628794,0.18705158328682892
266,rolling_form,200,10.0,5,4,0.8734622144112478,0.5185185185185185,0.8717658711168804,0.43671025895085425,1.2950467622137782,2.9581726113707436,0.7018879643496875,0.20129339492989917
267,rolling_form,200,10.0,10,1,0.9086115992970123,0.5238095238095238,0.9079258469005651,0.44114715129207877,1.239656438938551,3.0262155700942266,0.7146384861908295,0.18292179607455883
268,rolling_form,200,10.0,10,2,0.8822495606326889,0.5291005291005291,0.8810447441263227,0.4520813981905735,1.285556420905611,2.9958009976392264,0.7040725842792086,0.1911337306374089
269,rolling_form,200,10.0,10,4,0.8260105448154658,0.5502645502645502,0.8201552629125113,0.47869077839191176,1.4155205991124116,2.9679945934493377,0.674155606099502,0.19864145976867886
270,rolling_form,200,20.0,2,1,1.0,0.5132275132275133,1.0,0.4352671919067583,0.5414625786514627,3.0432346080808554,0.8753585459151093,0.1783266558181691
271,rolling_form,200,20.0,2,2,0.9912126537785588,0.5291005291005291,0.9911867414892334,0.45552403997536434,0.7142749283858633,3.0160219840918794,0.835578174373335,0.1856740642951925
272,rolling_form,200,20.0,2,4,0.9050966608084359,0.5132275132275133,0.9040370197452617,0.4330918991113166,1.1950656961049595,2.9690800489108677,0.7249030090676389,0.19834838679406563
273,rolling_form,200,20.0,5,1,0.9964850615114236,0.5079365079365079,0.9964810468888428,0.43345038295829913,0.6825942052832832,3.0266924164012745,0.8428708877567804,0.18279304757165582
274,rolling_form,200,20.0,5,2,0.9859402460456942,0.5185185185185185,0.9859465770278465,0.43646102119008523,0.7662282429620251,3.026920920553022,0.823618831422193,0.1827313514506841
275,rolling_form,200,20.0,5,4,0.9050966608084359,0.5132275132275133,0.9040370197452617,0.4330918991113166,1.1950656961049595,2.9690800489108677,0.7249030090676389,0.19834838679406563
276,rolling_form,200,20.0,10,1,0.961335676625659,0.5185185185185185,0.9612963163253528,0.4374575372933337,1.0133639113931927,3.0390597517645266,0.7667296754878729,0.1794538670235779
277,rolling_form,200,20.0,10,2,0.9367311072056239,0.5238095238095238,0.9365710399273154,0.44213635260021455,1.1165229925167905,3.0145661224802356,0.7429830706803355,0.18606714693033644
278,rolling_form,200,20.0,10,4,0.8822495606326889,0.5396825396825397,0.880848852039745,0.4613630637440161,1.330960922583617,2.968272675911312,0.6936207389730358,0.1985663775039458
279,rolling_form,200,30.0,2,1,1.0,0.5185185185185185,1.0,0.44549680722764334,0.5402048769771529,3.0435256613756616,0.8756480613344045,0.17824807142857135
280,rolling_form,200,30.0,2,2,0.9912126537785588,0.5185185185185185,0.9911867414892334,0.4467579786628719,0.7143123931144756,3.017093637169885,0.835569550216403,0.18538471796413103
281,rolling_form,200,30.0,2,4,0.9050966608084359,0.5132275132275133,0.9040370197452617,0.4330918991113166,1.1949561628220011,2.969788312819378,0.7249282229756668,0.198157155538768
282,rolling_form,200,30.0,5,1,0.9964850615114236,0.5026455026455027,0.9964810468888428,0.42929512485756033,0.6809856460937821,3.0284059239818446,0.8432411684821084,0.18233040052490201
283,rolling_form,200,30.0,5,2,0.984182776801406,0.5185185185185185,0.9841681797003965,0.43646102119008523,0.7658217653083174,3.025288595312048,0.8237124001521638,0.18317207926574708
284,rolling_form,200,30.0,5,4,0.9050966608084359,0.5132275132275133,0.9040370197452617,0.4330918991113166,1.1949561628220011,2.969788312819378,0.7249282229756668,0.198157155538768
285,rolling_form,200,30.0,10,1,0.961335676625659,0.5185185185185185,0.9612963163253528,0.4374575372933337,1.01287433450939,3.03919198658628,0.7668423731646643,0.17941816362170437
286,rolling_form,200,30.0,10,2,0.9367311072056239,0.5238095238095238,0.9365710399273154,0.44191158618607984,1.116341813165253,3.0143385101927564,0.743024777085757,0.1861286022479557
287,rolling_form,200,30.0,10,4,0.8822495606326889,0.5396825396825397,0.880848852039745,0.4613630637440161,1.330960922583617,2.968272675911312,0.6936207389730358,0.1985663775039458
288,rolling_form,500,,2,1,1.0,0.5185185185185185,1.0,0.4437378215567458,0.5327937785588752,3.0630114920634917,0.8773540519598712,0.1729868971428573
289,rolling_form,500,,2,2,0.9912126537785588,0.5238095238095238,0.9911867414892334,0.44783575702723016,0.7062372403985854,3.0256479730431525,0.8374284021780156,0.1830750472783489
290,rolling_form,500,,2,4,0.9050966608084359,0.5238095238095238,0.9040530848663688,0.4477055189892049,1.1905362030107196,2.9527402162302505,0.7259456713453158,0.2027601416178324
291,rolling_form,500,,5,1,0.9982425307557118,0.5238095238095238,0.9982415379727088,0.44858844161060096,0.672066438662548,3.0435123525336594,0.8452943168017625,0.17825166481591204
292,rolling_form,500,,5,2,0.9859402460456942,0.5238095238095238,0.9859129181898414,0.44938227473602543,0.7603226546591146,3.024899810505154,0.8249782626041866,0.18327705116360837
293,rolling_form,500,,5,4,0.9050966608084359,0.5238095238095238,0.9040530848663688,0.4477055189892049,1.1905362030107196,2.9527402162302505,0.7259456713453158,0.2027601416178324
294,rolling_form,500,,10,1,0.9648506151142355,0.5238095238095238,0.964827929540285,0.44858844161060096,1.010295530344244,3.0260952066654148,0.7674359984928347,0.18295429420033804
295,rolling_form,500,,10,2,0.9402460456942003,0.5238095238095238,0.9400662327783079,0.4489391487919713,1.11428048394875,3.0019494219319336,0.743499282769109,0.18947365607837796
296,rolling_form,500,,10,4,0.8699472759226714,0.5396825396825397,0.8674476452267649,0.461616361755058,1.3251005431398835,2.953099639881043,0.6949697633454595,0.20266309723211828
297,rolling_form,500,10.0,2,1,0.984182776801406,0.5238095238095238,0.9841857316090928,0.44213635260021455,0.8530965835118791,3.0336124061826797,0.8036222578694252,0.1809246503306765
298,rolling_form,500,10.0,2,2,0.9543057996485061,0.5343915343915344,0.9542057331581066,0.45713501973294024,0.942225599695229,2.9953902623916235,0.7831052902778395,0.19124462915426166
299,rolling_form,500,10.0,2,4,0.859402460456942,0.5132275132275133,0.8563794661416363,0.44534251947392645,1.2958415944301924,2.9457457034278023,0.7017049987171333,0.20464866007449345
300,rolling_form,500,10.0,5,1,0.9560632688927944,0.5185185185185185,0.9560061194570135,0.43689056957665373,0.9666588663274537,3.0330276752957404,0.7774808981200859,0.1810825276701501
301,rolling_form,500,10.0,5,2,0.9507908611599297,0.5132275132275133,0.9506749846312617,0.43307006108938473,0.9882165579986557,2.9911411892195554,0.772518446156546,0.19239187891072007
302,rolling_form,500,10.0,5,4,0.859402460456942,0.5132275132275133,0.8563794661416363,0.44534251947392645,1.2958415944301924,2.9457457034278023,0.7017049987171333,0.20464866007449345
303,rolling_form,500,10.0,10,1,0.9086115992970123,0.5185185185185185,0.9081163843025993,0.43689056957665373,1.2483057914337028,3.006980645509801,0.7126474568669314,0.18811522571235373
304,rolling_form,500,10.0,10,2,0.8787346221441125,0.544973544973545,0.8774190375998389,0.4669073670460633,1.2901034924839185,2.979016655891481,0.7030258755394101,0.19566550290930018
305,rolling_form,500,10.0,10,4,0.8260105448154658,0.5291005291005291,0.8190770544930899,0.45226720677483506,1.4160964756110495,2.9500006690623946,0.6740230427664231,0.20349981935315342
306,rolling_form,500,20.0,2,1,1.0,0.5079365079365079,1.0,0.4283713485394158,0.5346127466415657,3.062245861518876,0.8769353363630793,0.17319361738990335
307,rolling_form,500,20.0,2,2,0.9929701230228472,0.5291005291005291,0.992953714871809,0.4530370842624557,0.706307092575585,3.024251927431872,0.8374123226237574,0.18345197959339443
308,rolling_form,500,20.0,2,4,0.9050966608084359,0.5238095238095238,0.9040530848663688,0.4477055189892049,1.1905896132341471,2.9524520271547687,0.7259333766306422,0.20283795266821247
309,rolling_form,500,20.0,5,1,0.9982425307557118,0.5185185185185185,0.9982415379727088,0.44358739664448155,0.6738065764951243,3.03856604682464,0.8448937474580773,0.17958716735734714
310,rolling_form,500,20.0,5,2,0.9859402460456942,0.5291005291005291,0.9859129181898414,0.4542679949939903,0.7605940354600347,3.0252037295959497,0.8249157923634516,0.1831949930090936
311,rolling_form,500,20.0,5,4,0.9050966608084359,0.5238095238095238,0.9040530848663688,0.4477055189892049,1.1905896132341471,2.9524520271547687,0.7259333766306422,0.20283795266821247
312,rolling_form,500,20.0,10,1,0.9630931458699473,0.5185185185185185,0.9630685736295496,0.4437378215567458,1.0107213530233619,3.025601008315932,0.7673379766534681,0.18308772775469828
313,rolling_form,500,20.0,10,2,0.9402460456942003,0.5238095238095238,0.9400662327783079,0.4489391487919713,1.1142048590854918,3.0026579622230853,0.7435166911612918,0.18928235019976702
314,rolling_form,500,20.0,10,4,0.8734622144112478,0.5396825396825397,0.8710620982345288,0.461616361755058,1.3251005431398835,2.953099639881043,0.6949697633454595,0.20266309723211828
315,rolling_form,500,30.0,2,1,1.0,0.5185185185185185,1.0,0.4437378215567458,0.5327937785588752,3.0630114920634917,0.8773540519598712,0.1729868971428573
316,rolling_form,500,30.0,2,2,0.9912126537785588,0.5238095238095238,0.9911867414892334,0.44783575702723016,0.7062372403985854,3.0256479730431525,0.8374284021780156,0.1830750472783489
317,rolling_form,500,30.0,2,4,0.9050966608084359,0.5238095238095238,0.9040530848663688,0.4477055189892049,1.1905362030107196,2.9527402162302505,0.7259456713453158,0.2027601416178324
318,rolling_form,500,30.0,5,1,0.9982425307557118,0.5238095238095238,0.9982415379727088,0.44858844161060096,0.672066438662548,3.0435123525336594,0.8452943168017625,0.17825166481591204
319,rolling_form,500,30.0,5,2,0.9859402460456942,0.5238095238095238,0.9859129181898414,0.44938227473602543,0.7603226546591146,3.024899810505154,0.8249782626041866,0.18327705116360837
320,rolling_form,500,30.0,5,4,0.9050966608084359,0.5238095238095238,0.9040530848663688,0.4477055189892049,1.1905362030107196,2.9527402162302505,0.7259456713453158,0.2027601416178324
321,rolling_form,500,30.0,10,1,0.9648506151142355,0.5238095238095238,0.964827929540285,0.44858844161060096,1.010295530344244,3.0260952066654148,0.7674359984928347,0.18295429420033804
322,rolling_form,500,30.0,10,2,0.9402460456942003,0.5238095238095238,0.9400662327783079,0.4489391487919713,1.11428048394875,3.0019494219319336,0.743499282769109,0.18947365607837796
323,rolling_form,500,30.0,10,4,0.8699472759226714,0.5396825396825397,0.8674476452267649,0.461616361755058,1.3251005431398835,2.953099639881043,0.6949697633454595,0.20266309723211828
324,all_features,100,,2,1,1.0,0.5291005291005291,1.0,0.46185429930169575,0.5404977152899824,2.9064925925925924,0.8755806517024892,0.21524700000000008
325,all_features,100,,2,2,0.9824253075571178,0.5185185185185185,0.9823737468378577,0.4554634088299319,0.707041195896119,2.969934330292449,0.8372433364205967,0.1981177308210389
326,all_features,100,,2,4,0.9068541300527241,0.5502645502645502,0.9057588500881363,0.4828038201038205,1.1740056868572109,2.949451769765493,0.7297508975075349,0.2036480221633169
327,all_features,100,,5,1,0.9947275922671354,0.5291005291005291,0.9947184611884817,0.46752887643052754,0.6733807706145064,2.9276037098391683,0.8449917654305295,0.2095469983434246
328,all_features,100,,5,2,0.9771528998242531,0.5185185185185185,0.977086628409156,0.4533414472802996,0.7545139054565497,2.9858045720486714,0.8263154020032294,0.1938327655468587
329,all_features,100,,5,4,0.9068541300527241,0.5502645502645502,0.9057588500881363,0.4828038201038205,1.1740056868572109,2.949451769765493,0.7297508975075349,0.2036480221633169
330,all_features,100,,10,1,0.9578207381370826,0.5555555555555556,0.9576930991448007,0.48633352495141113,0.9890696037678341,2.892098263286822,0.7723220801115718,0.21913346891255803
331,all_features,100,,10,2,0.9279437609841827,0.5343915343915344,0.9275273786854437,0.4630753883560697,1.0770356695157866,2.9446980614112506,0.7520728167695716,0.20493152341896237
332,all_features,100,,10,4,0.8664323374340949,0.5079365079365079,0.8629756565926632,0.4355263459273485,1.2903317302781336,2.942854945613403,0.7029733365613353,0.2054291646843811
333,all_features,100,10.0,2,1,0.9876977152899824,0.5343915343915344,0.9876969353079104,0.46305510841240405,0.8770154282058252,2.9189365344829006,0.7981162825717248,0.2118871356896168
334,all_features,100,10.0,2,2,0.9736379613356766,0.5291005291005291,0.973615893581492,0.4576619097105257,0.9610626746822536,2.9736420889221713,0.778769108037995,0.1971166359910137
335,all_features,100,10.0,2,4,0.8769771528998243,0.5555555555555556,0.8744289326657206,0.49109243854728246,1.2845437926954417,2.9322602022430395,0.7043056852496897,0.2082897453943794
336,all_features,100,10.0,5,1,0.9753954305799648,0.5238095238095238,0.9754049568938704,0.447631712617707,0.9865959878141679,2.9159970630595757,0.7728914917412367,0.21268079297391462
337,all_features,100,10.0,5,2,0.961335676625659,0.5185185185185185,0.9612941504290957,0.45039303455947055,1.0015227882153863,2.943144916979886,0.7694554313740061,0.2053508724154307
338,all_features,100,10.0,5,4,0.8769771528998243,0.5555555555555556,0.8744289326657206,0.49109243854728246,1.2845437926954417,2.9322602022430395,0.7043056852496897,0.2082897453943794
339,all_features,100,10.0,10,1,0.9068541300527241,0.544973544973545,0.9060540230947112,0.47222582740298596,1.2384614437917085,2.864218332120869,0.7149135669417426,0.22666105032736528
340,all_features,100,10.0,10,2,0.8927943760984183,0.5343915343915344,0.8910427378843687,0.45755821206584035,1.2714879348965,2.930786673970788,0.7073110657959105,0.20868759802788728
341,all_features,100,10.0,10,4,0.8488576449912126,0.5291005291005291,0.8441163452038206,0.4494502622317137,1.3851309480346892,2.9209950582150346,0.6811511224081146,0.21133133428194062
342,all_features,100,20.0,2,1,1.0,0.5132275132275133,1.0,0.44704017212382374,0.5429641642658269,2.9004421948322996,0.8750128898683454,0.21688060739527903
343,all_features,100,20.0,2,2,0.9824253075571178,0.5185185185185185,0.9823737468378577,0.4554030136288337,0.7080794893192898,2.9685256695534803,0.837004327471256,0.19849806922056035
344,all_features,100,20.0,2,4,0.9068541300527241,0.5502645502645502,0.9057588500881363,0.4828038201038205,1.1740056868572109,2.949451769765493,0.7297508975075349,0.2036480221633169
345,all_features,100,20.0,5,1,0.9947275922671354,0.5396825396825397,0.9947184611884817,0.4774619866451893,0.6756270027685514,2.9058617833866855,0.8444746961944806,0.21541731848559498
346,all_features,100,20.0,5,2,0.9771528998242531,0.5185185185185185,0.977086628409156,0.4533414472802996,0.7555933094844093,2.985132060843115,0.826066929638043,0.19401434357235892
347,all_features,100,20.0,5,4,0.9068541300527241,0.5502645502645502,0.9057588500881363,0.4828038201038205,1.1740056868572109,2.949451769765493,0.7297508975075349,0.2036480221633169
348,all_features,100,20.0,10,1,0.961335676625659,0.5396825396825397,0.9612250360463263,0.47306940262443775,0.9915566838723897,2.880117398107936,0.7717495691147278,0.22236830251085715
349,all_features,100,20.0,10,2,0.9279437609841827,0.5343915343915344,0.9275273786854437,0.4630753883560697,1.077156969520945,2.944791890969489,0.7520448942323188,0.20490618943823802
350,all_features,100,20.0,10,4,0.8664323374340949,0.5079365079365079,0.8629756565926632,0.4355263459273485,1.2903317302781336,2.942854945613403,0.7029733365613353,0.2054291646843811
351,all_features,100,30.0,2,1,1.0,0.5291005291005291,1.0,0.46185429930169575,0.5404977152899824,2.9064925925925924,0.8755806517024892,0.21524700000000008
352,all_features,100,30.0,2,2,0.9824253075571178,0.5185185185185185,0.9823737468378577,0.4554634088299319,0.707041195896119,2.969934330292449,0.8372433364205967,0.1981177308210389
353,all_features,100,30.0,2,4,0.9068541300527241,0.5502645502645502,0.9057588500881363,0.4828038201038205,1.1740056868572109,2.949451769765493,0.7297508975075349,0.2036480221633169
354,all_features,100,30.0,5,1,0.9947275922671354,0.5291005291005291,0.9947184611884817,0.46752887643052754,0.6733807706145064,2.9276037098391683,0.8449917654305295,0.2095469983434246
355,all_features,100,30.0,5,2,0.9771528998242531,0.5185185185185185,0.977086628409156,0.4533414472802996,0.7545139054565497,2.9858045720486714,0.8263154020032294,0.1938327655468587
356,all_features,100,30.0,5,4,0.9068541300527241,0.5502645502645502,0.9057588500881363,0.4828038201038205,1.1740056868572109,2.949451769765493,0.7297508975075349,0.2036480221633169
357,all_features,100,30.0,10,1,0.9578207381370826,0.5555555555555556,0.9576930991448007,0.48633352495141113,0.9890696037678341,2.892098263286822,0.7723220801115718,0.21913346891255803
358,all_features,100,30.0,10,2,0.9279437609841827,0.5343915343915344,0.9275273786854437,0.4630753883560697,1.0770356695157866,2.9446980614112506,0.7520728167695716,0.20493152341896237
359,all_features,100,30.0,10,4,0.8664323374340949,0.5079365079365079,0.8629756565926632,0.4355263459273485,1.2903317302781336,2.942854945613403,0.7029733365613353,0.2054291646843811
360,all_features,200,,2,1,1.0,0.544973544973545,1.0,0.47916742686857633,0.5182786028119508,2.8801817460317456,0.880695358788314,0.22235092857142869
361,all_features,200,,2,2,0.9876977152899824,0.5396825396825397,0.9876596080913449,0.47507553464159263,0.6839204852338463,2.9155013526574938,0.8425655860275759,0.21281463478247664
362,all_features,200,,2,4,0.9226713532513181,0.5555555555555556,0.9218447871903828,0.48692194244854387,1.142985228972381,2.912098109124216,0.7368916217784047,0.2137335105364616
363,all_features,200,,5,1,0.9964850615114236,0.5343915343915344,0.9964810468888428,0.46688509121773364,0.6505165219742093,2.887289940632021,0.8502549790106494,0.2204317160293543
364,all_features,200,,5,2,0.9824253075571178,0.5291005291005291,0.9823737468378577,0.466980983812667,0.7349684706809076,2.922879063733736,0.8308146444388282,0.21082265279189127
365,all_features,200,,5,4,0.9226713532513181,0.5555555555555556,0.9218447871903828,0.48692194244854387,1.142985228972381,2.912098109124216,0.7368916217784047,0.2137335105364616
366,all_features,200,,10,1,0.9630931458699473,0.5555555555555556,0.9630809788346973,0.48124077217093725,0.9736983044053587,2.8493448648500492,0.7758604614868548,0.23067688649048668
367,all_features,200,,10,2,0.9437609841827768,0.5343915343915344,0.9435588862273979,0.4621459726098346,1.0721240917356412,2.908768431639448,0.7532034326616117,0.21463252345734907
368,all_features,200,,10,4,0.8769771528998243,0.5343915343915344,0.8732631381441592,0.4561993122942422,1.2714386290425124,2.913881468699751,0.7073224157092346,0.2132520034510672
369,all_features,200,10.0,2,1,0.9929701230228472,0.5396825396825397,0.99297212396461,0.46669991809564876,0.8611088962976414,2.889734781104278,0.801777871284691,0.219771609101845
370,all_features,200,10.0,2,2,0.9718804920913884,0.5238095238095238,0.9718493712057157,0.4529421859994669,0.936518391748132,2.930534385656495,0.7844190554858853,0.20875571587274633
371,all_features,200,10.0,2,4,0.8910369068541301,0.5343915343915344,0.8890679590548933,0.46351789296106605,1.2572883765776321,2.9071718580431796,0.7105797193760615,0.21506359832834143
372,all_features,200,10.0,5,1,0.9771528998242531,0.5343915343915344,0.9771506767837996,0.45711772342611534,0.967983483812289,2.8861592161709306,0.7771759790805701,0.22073701163384873
