Match_ID,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
7.12.2024_Holstein_RB Leipzig_0_2,17,9,5,5,56,44,484,393,79,78,11,13,4,3,0,0,2,2,6,1
7.12.2024_Eintracht Frankfurt_Augsburg_2_2,16,8,4,3,68,32,571,276,84,71,17,9,2,2,0,0,1,4,4,0
7.12.2024_Bochum_Werder Bremen_0_1,12,9,2,1,52,48,446,439,77,76,12,10,1,1,0,0,1,0,9,5
7.12.2024_Mönchengladbach_Dortmund_1_1,9,16,3,3,39,61,344,529,79,87,16,11,1,2,1,0,3,1,7,4
8.12.2024_Wolfsburg_Mainz_4_3,10,12,5,5,43,57,395,507,78,80,10,15,3,4,0,0,0,1,3,5
8.12.2024_Hoffenheim_Freiburg_1_1,15,11,5,4,49,51,517,527,81,80,10,5,1,1,0,0,1,2,6,1
13.12.2024_Freiburg_Wolfsburg_3_2,18,20,9,5,53,47,479,420,79,78,11,3,4,1,0,0,2,2,5,6
14.12.2024_Mönchengladbach_Holstein_4_1,17,12,6,3,57,43,526,414,85,78,10,14,1,1,0,0,4,3,5,2
14.12.2024_Augsburg_Leverkusen_0_2,8,14,4,3,34,66,367,708,79,89,12,5,3,0,0,0,5,2,4,9
14.12.2024_Union Berlin_Bochum_1_1,22,13,4,3,70,30,540,234,83,61,11,9,2,2,0,1,1,0,7,6
14.12.2024_Mainz_Bayern_2_1,8,13,4,1,31,69,292,647,69,84,21,12,3,2,0,0,3,0,3,2
14.12.2024_St. Pauli_Werder Bremen_0_2,15,8,4,4,57,43,586,453,83,82,10,9,2,3,0,0,2,4,4,5
15.12.2024_Heidenheim_VfB Stuttgart_1_3,9,18,2,7,33,67,280,578,68,85,25,13,4,3,0,0,2,0,9,6
15.12.2024_Dortmund_Hoffenheim_1_1,6,12,2,1,54,46,445,368,84,78,9,10,5,2,0,0,1,4,3,9
15.12.2024_RB Leipzig_Eintracht Frankfurt_2_1,19,16,9,3,43,57,407,523,85,86,15,10,1,3,0,0,5,3,6,7
20.12.2024_Bayern_RB Leipzig_5_1,22,4,9,1,71,29,712,295,90,78,9,10,5,2,0,0,2,1,8,1
21.12.2024_Eintracht Frankfurt_Mainz_1_3,34,9,9,3,71,29,550,245,85,64,10,10,1,1,0,1,1,5,17,2
21.12.2024_Holstein_Augsburg_5_1,8,17,6,4,37,63,295,476,72,84,11,13,0,4,0,0,2,1,3,8
21.12.2024_Werder Bremen_Union Berlin_4_1,10,16,5,4,54,46,530,449,83,78,9,12,2,2,0,0,1,2,4,9
21.12.2024_Hoffenheim_Mönchengladbach_1_2,18,5,8,3,65,35,651,373,88,79,14,6,0,0,0,0,1,2,8,4
21.12.2024_VfB Stuttgart_St. Pauli_0_1,25,11,5,5,73,27,678,261,88,71,10,11,2,2,0,0,1,5,9,1
21.12.2024_Leverkusen_Freiburg_5_1,20,8,12,2,67,33,680,335,88,74,8,9,1,2,0,0,0,1,4,2
22.12.2024_Bochum_Heidenheim_2_0,14,10,4,2,52,48,412,399,73,71,18,15,2,7,0,0,2,0,5,2
22.12.2024_Wolfsburg_Dortmund_1_3,14,12,5,4,49,51,449,471,80,86,8,8,3,2,0,1,0,1,10,4
