Match_ID,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
2.11.2024_Wolfsburg_Augsburg_1_1,2.11.2024,Spieltag 9 von 34,Wolfsburg,Augsburg,1,1
2.11.2024_Bayern_Union Berlin_3_0,2.11.2024,Spieltag 9 von 34,Bayern,Union Berlin,3,0
2.11.2024_Hoffenheim_St. Pauli_0_2,2.11.2024,Spieltag 9 von 34,Hoffenheim,St. Pauli,0,2
2.11.2024_Dortmund_RB Leipzig_2_1,2.11.2024,Spieltag 9 von 34,Dortmund,RB Leipzig,2,1
3.11.2024_Freiburg_Mainz_0_0,3.11.2024,Spieltag 9 von 34,Freiburg,Mainz,0,0
3.11.2024_Mönchengladbach_Werder Bremen_4_1,3.11.2024,Spieltag 9 von 34,Mönchengladbach,Werder Bremen,4,1
8.11.2024_Union Berlin_Freiburg_0_0,8.11.2024,Spieltag 10 von 34,Union Berlin,Freiburg,0,0
9.11.2024_Werder Bremen_Holstein_2_1,9.11.2024,Spieltag 10 von 34,Werder Bremen,Holstein,2,1
9.11.2024_Bochum_Leverkusen_1_1,9.11.2024,Spieltag 10 von 34,Bochum,Leverkusen,1,1
9.11.2024_Mainz_Dortmund_3_1,9.11.2024,Spieltag 10 von 34,Mainz,Dortmund,3,1
9.11.2024_St. Pauli_Bayern_0_1,9.11.2024,Spieltag 10 von 34,St. Pauli,Bayern,0,1
9.11.2024_RB Leipzig_Mönchengladbach_0_0,9.11.2024,Spieltag 10 von 34,RB Leipzig,Mönchengladbach,0,0
10.11.2024_Augsburg_Hoffenheim_0_0,10.11.2024,Spieltag 10 von 34,Augsburg,Hoffenheim,0,0
10.11.2024_VfB Stuttgart_Eintracht Frankfurt_2_3,10.11.2024,Spieltag 10 von 34,VfB Stuttgart,Eintracht Frankfurt,2,3
10.11.2024_Heidenheim_Wolfsburg_1_3,10.11.2024,Spieltag 10 von 34,Heidenheim,Wolfsburg,1,3
22.11.2024_Bayern_Augsburg_3_0,22.11.2024,Spieltag 11 von 34,Bayern,Augsburg,3,0
23.11.2024_Hoffenheim_RB Leipzig_4_3,23.11.2024,Spieltag 11 von 34,Hoffenheim,RB Leipzig,4,3
23.11.2024_Dortmund_Freiburg_4_0,23.11.2024,Spieltag 11 von 34,Dortmund,Freiburg,4,0
23.11.2024_Wolfsburg_Union Berlin_1_0,23.11.2024,Spieltag 11 von 34,Wolfsburg,Union Berlin,1,0
23.11.2024_Leverkusen_Heidenheim_5_2,23.11.2024,Spieltag 11 von 34,Leverkusen,Heidenheim,5,2
23.11.2024_VfB Stuttgart_Bochum_2_0,23.11.2024,Spieltag 11 von 34,VfB Stuttgart,Bochum,2,0
23.11.2024_Eintracht Frankfurt_Werder Bremen_1_0,23.11.2024,Spieltag 11 von 34,Eintracht Frankfurt,Werder Bremen,1,0
24.11.2024_Holstein_Mainz_0_3,24.11.2024,Spieltag 11 von 34,Holstein,Mainz,0,3
24.11.2024_Mönchengladbach_St. Pauli_2_0,24.11.2024,Spieltag 11 von 34,Mönchengladbach,St. Pauli,2,0
29.11.2024_St. Pauli_Holstein_3_1,29.11.2024,Spieltag 12 von 34,St. Pauli,Holstein,3,1
30.11.2024_Union Berlin_Leverkusen_1_2,30.11.2024,Spieltag 12 von 34,Union Berlin,Leverkusen,1,2
30.11.2024_Augsburg_Bochum_1_0,30.11.2024,Spieltag 12 von 34,Augsburg,Bochum,1,0
30.11.2024_Werder Bremen_VfB Stuttgart_2_2,30.11.2024,Spieltag 12 von 34,Werder Bremen,VfB Stuttgart,2,2
