,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
24.11.2024_B. Monchengladbach_St. Pauli_2_0,24.11.2024,B. Monchengladbach,St. Pauli,2,0,1.89,3.69,3.93,1.87,3.7,3.9,1.9,3.75,3.95,1.93,3.6,3.95,1.9,3.6,3.9,False
24.11.2024_Holstein Kiel_Mainz_0_3,24.11.2024,Holstein Kiel,Mainz,0,3,3.21,3.33,2.26,3.2,3.3,2.25,3.35,3.25,2.3,3.25,3.3,2.3,3.1,3.4,2.25,False
23.11.2024_Eintracht Frankfurt_Werder Bremen_1_0,23.11.2024,Eintracht Frankfurt,Werder Bremen,1,0,1.77,4.0,4.17,1.72,4.0,4.33,1.8,4.0,4.2,1.78,4.0,4.25,1.77,4.0,4.1,False
23.11.2024_Bayer Leverkusen_Heidenheim_5_2,23.11.2024,Bayer Leverkusen,Heidenheim,5,2,1.21,6.42,13.1,1.19,6.25,13.0,1.2,6.5,13.0,1.22,6.2,14.0,1.22,6.75,12.0,False
23.11.2024_Dortmund_Freiburg_4_0,23.11.2024,Dortmund,Freiburg,4,0,1.8,3.74,4.35,1.72,3.7,4.75,1.83,3.75,4.3,1.8,3.75,4.35,1.82,3.75,4.2,False
23.11.2024_Hoffenheim_RB Leipzig_4_3,23.11.2024,Hoffenheim,RB Leipzig,4,3,3.21,3.59,2.16,3.2,3.5,2.2,3.2,3.6,2.2,3.25,3.6,2.15,3.2,3.6,2.15,False
23.11.2024_Stuttgart_Bochum_2_0,23.11.2024,Stuttgart,Bochum,2,0,1.32,5.68,8.3,1.3,5.5,8.5,1.33,5.75,8.0,1.33,5.7,8.25,1.31,6.0,8.25,False
23.11.2024_Wolfsburg_Union Berlin_1_0,23.11.2024,Wolfsburg,Union Berlin,1,0,2.12,3.24,3.66,2.15,3.3,3.6,2.15,3.2,3.7,2.07,3.25,3.8,2.15,3.25,3.5,False
22.11.2024_Bayern Munich_Augsburg_3_0,22.11.2024,Bayern Munich,Augsburg,3,0,1.12,9.8,18.3,1.1,10.0,15.0,1.11,10.0,20.0,1.12,9.25,21.0,1.13,9.75,17.5,False
10.11.2024_Heidenheim_Wolfsburg_1_3,10.11.2024,Heidenheim,Wolfsburg,1,3,2.85,3.22,2.57,2.87,3.2,2.55,2.85,3.3,2.6,2.82,3.2,2.6,2.65,3.3,2.6,False
