,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
14.12.2021_Mainz_Hertha Berlin_4_0,14.12.2021,Mainz,Hertha Berlin,4,0,1.95,3.4,3.8,,,,,,,,,,,,,False
14.12.2021_Wolfsburg_FC Koln_2_3,14.12.2021,Wolfsburg,FC Koln,2,3,2.1,3.6,3.3,,,,,,,,,,,,,False
14.12.2021_Stuttgart_Bayern Munich_0_5,14.12.2021,Stuttgart,Bayern Munich,0,5,9.0,6.0,1.28,,,,,,,,,,,,,False
12.12.2021_Eintracht Frankfurt_Bayer Leverkusen_5_2,12.12.2021,Eintracht Frankfurt,Bayer Leverkusen,5,2,2.9,3.75,2.25,,,,,,,,,,,,,False
12.12.2021_Greuther Furth_Union Berlin_1_0,12.12.2021,Greuther Furth,Union Berlin,1,0,4.0,3.6,1.9,,,,,,,,,,,,,False
11.12.2021_Wolfsburg_Stuttgart_0_2,11.12.2021,Wolfsburg,Stuttgart,0,2,2.0,3.5,3.75,,,,,,,,,,,,,False
11.12.2021_Bayern Munich_Mainz_2_1,11.12.2021,Bayern Munich,Mainz,2,1,1.2,7.5,12.0,,,,,,,,,,,,,False
11.12.2021_Bochum_Dortmund_1_1,11.12.2021,Bochum,Dortmund,1,1,6.5,4.75,1.44,,,,,,,,,,,,,False
11.12.2021_Freiburg_Hoffenheim_1_2,11.12.2021,Freiburg,Hoffenheim,1,2,2.2,3.5,3.2,,,,,,,,,,,,,False
11.12.2021_Hertha Berlin_Arminia Bielefeld_2_0,11.12.2021,Hertha Berlin,Arminia Bielefeld,2,0,1.95,3.4,4.0,,,,,,,,,,,,,False
11.12.2021_RB Leipzig_B. Monchengladbach_4_1,11.12.2021,RB Leipzig,B. Monchengladbach,4,1,1.8,4.0,4.0,,,,,,,,,,,,,False
10.12.2021_FC Koln_Augsburg_0_2,10.12.2021,FC Koln,Augsburg,0,2,1.66,4.0,4.75,,,,,,,,,,,,,False
5.12.2021_B. Monchengladbach_Freiburg_0_6,5.12.2021,B. Monchengladbach,Freiburg,0,6,1.8,3.75,4.33,,,,,,,,,,,,,False
5.12.2021_Stuttgart_Hertha Berlin_2_2,5.12.2021,Stuttgart,Hertha Berlin,2,2,2.0,3.5,3.75,,,,,,,,,,,,,False
4.12.2021_Dortmund_Bayern Munich_2_3,4.12.2021,Dortmund,Bayern Munich,2,3,3.5,4.0,1.9,,,,,,,,,,,,,False
4.12.2021_Arminia Bielefeld_FC Koln_1_1,4.12.2021,Arminia Bielefeld,FC Koln,1,1,3.2,3.4,2.2,,,,,,,,,,,,,False
4.12.2021_Augsburg_Bochum_2_3,4.12.2021,Augsburg,Bochum,2,3,2.15,3.5,3.3,,,,,,,,,,,,,False
4.12.2021_Bayer Leverkusen_Greuther Furth_7_1,4.12.2021,Bayer Leverkusen,Greuther Furth,7,1,1.2,7.0,13.0,,,,,,,,,,,,,False
4.12.2021_Hoffenheim_Eintracht Frankfurt_3_2,4.12.2021,Hoffenheim,Eintracht Frankfurt,3,2,1.9,4.0,3.6,,,,,,,,,,,,,False
4.12.2021_Mainz_Wolfsburg_3_0,4.12.2021,Mainz,Wolfsburg,3,0,2.2,3.4,3.3,,,,,,,,,,,,,False
3.12.2021_Union Berlin_RB Leipzig_2_1,3.12.2021,Union Berlin,RB Leipzig,2,1,3.6,3.5,2.0,,,,,,,,,,,,,False
28.11.2021_RB Leipzig_Bayer Leverkusen_1_3,28.11.2021,RB Leipzig,Bayer Leverkusen,1,3,1.95,4.0,3.6,,,,,,,,,,,,,False
28.11.2021_Eintracht Frankfurt_Union Berlin_2_1,28.11.2021,Eintracht Frankfurt,Union Berlin,2,1,2.3,3.3,3.2,,,,,,,,,,,,,False
27.11.2021_Bayern Munich_Arminia Bielefeld_1_0,27.11.2021,Bayern Munich,Arminia Bielefeld,1,0,1.07,12.0,27.0,,,,,,,,,,,,,False
27.11.2021_FC Koln_B. Monchengladbach_4_1,27.11.2021,FC Koln,B. Monchengladbach,4,1,3.0,3.6,2.25,,,,,,,,,,,,,False
27.11.2021_Bochum_Freiburg_2_1,27.11.2021,Bochum,Freiburg,2,1,3.1,3.3,2.35,,,,,,,,,,,,,False
27.11.2021_Greuther Furth_Hoffenheim_3_6,27.11.2021,Greuther Furth,Hoffenheim,3,6,5.25,4.5,1.57,,,,,,,,,,,,,False
27.11.2021_Hertha Berlin_Augsburg_1_1,27.11.2021,Hertha Berlin,Augsburg,1,1,1.9,3.4,4.2,,,,,,,,,,,,,False
27.11.2021_Wolfsburg_Dortmund_1_3,27.11.2021,Wolfsburg,Dortmund,1,3,2.8,3.3,2.55,,,,,,,,,,,,,False
26.11.2021_Stuttgart_Mainz_2_1,26.11.2021,Stuttgart,Mainz,2,1,2.55,3.3,2.75,,,,,,,,,,,,,False
21.11.2021_Mainz_FC Koln_1_1,21.11.2021,Mainz,FC Koln,1,1,2.05,3.5,3.6,,,,,,,,,,,,,False
21.11.2021_Freiburg_Eintracht Frankfurt_0_2,21.11.2021,Freiburg,Eintracht Frankfurt,0,2,1.83,3.6,4.33,,,,,,,,,,,,,False
20.11.2021_Union Berlin_Hertha Berlin_2_0,20.11.2021,Union Berlin,Hertha Berlin,2,0,1.9,3.5,4.0,,,,,,,,,,,,,False
20.11.2021_Arminia Bielefeld_Wolfsburg_2_2,20.11.2021,Arminia Bielefeld,Wolfsburg,2,2,3.8,3.4,2.0,,,,,,,,,,,,,False
20.11.2021_B. Monchengladbach_Greuther Furth_4_0,20.11.2021,B. Monchengladbach,Greuther Furth,4,0,1.25,6.0,11.0,,,,,,,,,,,,,False
20.11.2021_Bayer Leverkusen_Bochum_1_0,20.11.2021,Bayer Leverkusen,Bochum,1,0,1.44,4.75,6.5,,,,,,,,,,,,,False
20.11.2021_Dortmund_Stuttgart_2_1,20.11.2021,Dortmund,Stuttgart,2,1,1.3,5.5,9.0,,,,,,,,,,,,,False
20.11.2021_Hoffenheim_RB Leipzig_2_0,20.11.2021,Hoffenheim,RB Leipzig,2,0,4.33,4.2,1.7,,,,,,,,,,,,,False
19.11.2021_Augsburg_Bayern Munich_2_1,19.11.2021,Augsburg,Bayern Munich,2,1,15.0,8.0,1.16,,,,,,,,,,,,,False
30.10.2021_Eintracht Frankfurt_RB Leipzig_1_1,30.10.2021,Eintracht Frankfurt,RB Leipzig,1,1,4.33,4.0,1.75,,,,,,,,,,,,,False
30.10.2021_Arminia Bielefeld_Mainz_1_2,30.10.2021,Arminia Bielefeld,Mainz,1,2,3.5,3.4,2.1,,,,,,,,,,,,,False
30.10.2021_Bayer Leverkusen_Wolfsburg_0_2,30.10.2021,Bayer Leverkusen,Wolfsburg,0,2,1.9,3.75,3.8,,,,,,,,,,,,,False
30.10.2021_Dortmund_FC Koln_2_0,30.10.2021,Dortmund,FC Koln,2,0,1.45,4.75,6.5,,,,,,,,,,,,,False
30.10.2021_Freiburg_Greuther Furth_3_1,30.10.2021,Freiburg,Greuther Furth,3,1,1.36,4.75,8.0,,,,,,,,,,,,,False
30.10.2021_Union Berlin_Bayern Munich_2_5,30.10.2021,Union Berlin,Bayern Munich,2,5,9.0,5.5,1.3,,,,,,,,,,,,,False
29.10.2021_Hoffenheim_Hertha Berlin_2_0,29.10.2021,Hoffenheim,Hertha Berlin,2,0,1.7,3.9,4.75,,,,,,,,,,,,,False
24.10.2021_Bochum_Eintracht Frankfurt_2_0,24.10.2021,Bochum,Eintracht Frankfurt,2,0,3.6,3.7,1.95,,,,,,,,,,,,,False
24.10.2021_Stuttgart_Union Berlin_1_1,24.10.2021,Stuttgart,Union Berlin,1,1,2.3,3.4,3.1,,,,,,,,,,,,,False
24.10.2021_FC Koln_Bayer Leverkusen_2_2,24.10.2021,FC Koln,Bayer Leverkusen,2,2,3.3,4.0,2.0,,,,,,,,,,,,,False
23.10.2021_Hertha Berlin_B. Monchengladbach_1_0,23.10.2021,Hertha Berlin,B. Monchengladbach,1,0,3.5,3.5,2.05,,,,,,,,,,,,,False
23.10.2021_Arminia Bielefeld_Dortmund_1_3,23.10.2021,Arminia Bielefeld,Dortmund,1,3,6.5,4.5,1.5,,,,,,,,,,,,,False
23.10.2021_Bayern Munich_Hoffenheim_4_0,23.10.2021,Bayern Munich,Hoffenheim,4,0,1.14,9.0,15.0,,,,,,,,,,,,,False
23.10.2021_RB Leipzig_Greuther Furth_4_1,23.10.2021,RB Leipzig,Greuther Furth,4,1,1.12,8.5,21.0,,,,,,,,,,,,,False
23.10.2021_Wolfsburg_Freiburg_0_2,23.10.2021,Wolfsburg,Freiburg,0,2,2.1,3.3,3.6,,,,,,,,,,,,,False
22.10.2021_Mainz_Augsburg_4_1,22.10.2021,Mainz,Augsburg,4,1,1.6,3.75,6.0,,,,,,,,,,,,,False
17.10.2021_Augsburg_Arminia Bielefeld_1_1,17.10.2021,Augsburg,Arminia Bielefeld,1,1,2.05,3.2,3.8,,,,,,,,,,,,,False
17.10.2021_Bayer Leverkusen_Bayern Munich_1_5,17.10.2021,Bayer Leverkusen,Bayern Munich,1,5,4.5,4.5,1.61,,,,,,,,,,,,,False
16.10.2021_B. Monchengladbach_Stuttgart_1_1,16.10.2021,B. Monchengladbach,Stuttgart,1,1,1.45,4.75,6.0,,,,,,,,,,,,,False
16.10.2021_Dortmund_Mainz_3_1,16.10.2021,Dortmund,Mainz,3,1,1.4,5.25,7.0,,,,,,,,,,,,,False
16.10.2021_Eintracht Frankfurt_Hertha Berlin_1_2,16.10.2021,Eintracht Frankfurt,Hertha Berlin,1,2,1.75,3.8,4.5,,,,,,,,,,,,,False
16.10.2021_Freiburg_RB Leipzig_1_1,16.10.2021,Freiburg,RB Leipzig,1,1,4.0,3.75,1.85,,,,,,,,,,,,,False
16.10.2021_Greuther Furth_Bochum_0_1,16.10.2021,Greuther Furth,Bochum,0,1,2.25,3.5,3.1,,,,,,,,,,,,,False
16.10.2021_Union Berlin_Wolfsburg_2_0,16.10.2021,Union Berlin,Wolfsburg,2,0,2.25,3.2,3.3,,,,,,,,,,,,,False
15.10.2021_Hoffenheim_FC Koln_5_0,15.10.2021,Hoffenheim,FC Koln,5,0,1.9,3.8,3.6,,,,,,,,,,,,,False
3.10.2021_Arminia Bielefeld_Bayer Leverkusen_0_4,3.10.2021,Arminia Bielefeld,Bayer Leverkusen,0,4,4.75,4.2,1.65,,,,,,,,,,,,,False
3.10.2021_Bayern Munich_Eintracht Frankfurt_1_2,3.10.2021,Bayern Munich,Eintracht Frankfurt,1,2,1.09,11.0,21.0,,,,,,,,,,,,,False
3.10.2021_Mainz_Union Berlin_1_2,3.10.2021,Mainz,Union Berlin,1,2,2.1,3.3,3.6,,,,,,,,,,,,,False
2.10.2021_RB Leipzig_Bochum_3_0,2.10.2021,RB Leipzig,Bochum,3,0,1.16,7.5,15.0,,,,,,,,,,,,,False
2.10.2021_Hertha Berlin_Freiburg_1_2,2.10.2021,Hertha Berlin,Freiburg,1,2,3.0,3.3,2.37,,,,,,,,,,,,,False
2.10.2021_Dortmund_Augsburg_2_1,2.10.2021,Dortmund,Augsburg,2,1,1.2,7.0,13.0,,,,,,,,,,,,,False
2.10.2021_Stuttgart_Hoffenheim_3_1,2.10.2021,Stuttgart,Hoffenheim,3,1,2.8,3.8,2.3,,,,,,,,,,,,,False
2.10.2021_Wolfsburg_B. Monchengladbach_1_3,2.10.2021,Wolfsburg,B. Monchengladbach,1,3,2.0,3.5,3.6,,,,,,,,,,,,,False
1.10.2021_FC Koln_Greuther Furth_3_1,1.10.2021,FC Koln,Greuther Furth,3,1,1.36,5.0,7.5,,,,,,,,,,,,,False
26.9.2021_Freiburg_Augsburg_3_0,26.9.2021,Freiburg,Augsburg,3,0,1.75,3.75,4.75,,,,,,,,,,,,,False
26.9.2021_Bochum_Stuttgart_0_0,26.9.2021,Bochum,Stuttgart,0,0,3.1,3.5,2.2,,,,,,,,,,,,,False
25.9.2021_B. Monchengladbach_Dortmund_1_0,25.9.2021,B. Monchengladbach,Dortmund,1,0,3.2,3.6,2.05,,,,,,,,,,,,,False
25.9.2021_Bayer Leverkusen_Mainz_1_0,25.9.2021,Bayer Leverkusen,Mainz,1,0,1.66,4.0,4.75,,,,,,,,,,,,,False
25.9.2021_Eintracht Frankfurt_FC Koln_1_1,25.9.2021,Eintracht Frankfurt,FC Koln,1,1,2.1,3.75,3.25,,,,,,,,,,,,,False
25.9.2021_Hoffenheim_Wolfsburg_3_1,25.9.2021,Hoffenheim,Wolfsburg,3,1,2.55,3.5,2.62,,,,,,,,,,,,,False
25.9.2021_RB Leipzig_Hertha Berlin_6_0,25.9.2021,RB Leipzig,Hertha Berlin,6,0,1.28,5.75,10.0,,,,,,,,,,,,,False
25.9.2021_Union Berlin_Arminia Bielefeld_1_0,25.9.2021,Union Berlin,Arminia Bielefeld,1,0,1.65,3.8,5.75,,,,,,,,,,,,,False
24.9.2021_Greuther Furth_Bayern Munich_1_3,24.9.2021,Greuther Furth,Bayern Munich,1,3,23.0,13.0,1.07,,,,,,,,,,,,,False
19.9.2021_Wolfsburg_Eintracht Frankfurt_1_1,19.9.2021,Wolfsburg,Eintracht Frankfurt,1,1,1.83,3.75,4.33,,,,,,,,,,,,,False
19.9.2021_Dortmund_Union Berlin_4_2,19.9.2021,Dortmund,Union Berlin,4,2,1.28,6.0,9.0,,,,,,,,,,,,,False
19.9.2021_Stuttgart_Bayer Leverkusen_1_3,19.9.2021,Stuttgart,Bayer Leverkusen,1,3,3.5,3.75,2.0,,,,,,,,,,,,,False
18.9.2021_FC Koln_RB Leipzig_1_1,18.9.2021,FC Koln,RB Leipzig,1,1,3.75,3.8,1.9,,,,,,,,,,,,,False
18.9.2021_Arminia Bielefeld_Hoffenheim_0_0,18.9.2021,Arminia Bielefeld,Hoffenheim,0,0,3.6,3.6,2.0,,,,,,,,,,,,,False
18.9.2021_Augsburg_B. Monchengladbach_1_0,18.9.2021,Augsburg,B. Monchengladbach,1,0,3.2,4.0,2.05,,,,,,,,,,,,,False
18.9.2021_Bayern Munich_Bochum_7_0,18.9.2021,Bayern Munich,Bochum,7,0,1.06,15.0,26.0,,,,,,,,,,,,,False
18.9.2021_Mainz_Freiburg_0_0,18.9.2021,Mainz,Freiburg,0,0,1.8,3.6,4.2,,,,,,,,,,,,,False
17.9.2021_Hertha Berlin_Greuther Furth_2_1,17.9.2021,Hertha Berlin,Greuther Furth,2,1,1.66,3.8,4.5,,,,,,,,,,,,,False
12.9.2021_B. Monchengladbach_Arminia Bielefeld_3_1,12.9.2021,B. Monchengladbach,Arminia Bielefeld,3,1,1.45,4.33,7.5,,,,,,,,,,,,,False
12.9.2021_Bochum_Hertha Berlin_1_3,12.9.2021,Bochum,Hertha Berlin,1,3,2.62,3.4,2.62,,,,,,,,,,,,,False
12.9.2021_Eintracht Frankfurt_Stuttgart_1_1,12.9.2021,Eintracht Frankfurt,Stuttgart,1,1,1.95,4.0,3.4,,,,,,,,,,,,,False
11.9.2021_RB Leipzig_Bayern Munich_1_4,11.9.2021,RB Leipzig,Bayern Munich,1,4,3.0,4.0,2.1,,,,,,,,,,,,,False
11.9.2021_Bayer Leverkusen_Dortmund_3_4,11.9.2021,Bayer Leverkusen,Dortmund,3,4,2.87,4.0,2.2,,,,,,,,,,,,,False
11.9.2021_Freiburg_FC Koln_1_1,11.9.2021,Freiburg,FC Koln,1,1,2.25,3.6,3.0,,,,,,,,,,,,,False
11.9.2021_Greuther Furth_Wolfsburg_0_2,11.9.2021,Greuther Furth,Wolfsburg,0,2,4.0,4.2,1.66,,,,,,,,,,,,,False
11.9.2021_Hoffenheim_Mainz_0_2,11.9.2021,Hoffenheim,Mainz,0,2,2.15,3.75,3.1,,,,,,,,,,,,,False
11.9.2021_Union Berlin_Augsburg_0_0,11.9.2021,Union Berlin,Augsburg,0,0,1.61,4.0,5.25,,,,,,,,,,,,,False
29.8.2021_Wolfsburg_RB Leipzig_1_0,29.8.2021,Wolfsburg,RB Leipzig,1,0,3.3,3.5,2.15,,,,,,,,,,,,,False
29.8.2021_Union Berlin_B. Monchengladbach_2_1,29.8.2021,Union Berlin,B. Monchengladbach,2,1,2.55,3.4,2.7,,,,,,,,,,,,,False
28.8.2021_Bayern Munich_Hertha Berlin_5_0,28.8.2021,Bayern Munich,Hertha Berlin,5,0,1.14,9.0,15.0,,,,,,,,,,,,,False
28.8.2021_FC Koln_Bochum_2_1,28.8.2021,FC Koln,Bochum,2,1,1.72,3.75,4.75,,,,,,,,,,,,,False
28.8.2021_Arminia Bielefeld_Eintracht Frankfurt_1_1,28.8.2021,Arminia Bielefeld,Eintracht Frankfurt,1,1,3.4,3.6,2.05,,,,,,,,,,,,,False
28.8.2021_Augsburg_Bayer Leverkusen_1_4,28.8.2021,Augsburg,Bayer Leverkusen,1,4,5.25,4.0,1.65,,,,,,,,,,,,,False
28.8.2021_Mainz_Greuther Furth_3_0,28.8.2021,Mainz,Greuther Furth,3,0,1.55,4.2,6.5,,,,,,,,,,,,,False
28.8.2021_Stuttgart_Freiburg_2_3,28.8.2021,Stuttgart,Freiburg,2,3,2.05,3.6,3.4,,,,,,,,,,,,,False
27.8.2021_Dortmund_Hoffenheim_3_2,27.8.2021,Dortmund,Hoffenheim,3,2,1.36,5.25,7.0,,,,,,,,,,,,,False
22.8.2021_Bayern Munich_FC Koln_3_2,22.8.2021,Bayern Munich,FC Koln,3,2,1.12,9.0,17.0,,,,,,,,,,,,,False
22.8.2021_Hoffenheim_Union Berlin_2_2,22.8.2021,Hoffenheim,Union Berlin,2,2,1.85,3.75,4.2,,,,,,,,,,,,,False
21.8.2021_Bayer Leverkusen_B. Monchengladbach_4_0,21.8.2021,Bayer Leverkusen,B. Monchengladbach,4,0,2.1,3.6,3.2,,,,,,,,,,,,,False
21.8.2021_Bochum_Mainz_2_0,21.8.2021,Bochum,Mainz,2,0,2.9,3.5,2.4,,,,,,,,,,,,,False
21.8.2021_Eintracht Frankfurt_Augsburg_0_0,21.8.2021,Eintracht Frankfurt,Augsburg,0,0,1.57,4.5,5.0,,,,,,,,,,,,,False
21.8.2021_Freiburg_Dortmund_2_1,21.8.2021,Freiburg,Dortmund,2,1,4.2,4.5,1.7,,,,,,,,,,,,,False
21.8.2021_Greuther Furth_Arminia Bielefeld_1_1,21.8.2021,Greuther Furth,Arminia Bielefeld,1,1,2.5,3.4,2.75,,,,,,,,,,,,,False
21.8.2021_Hertha Berlin_Wolfsburg_1_2,21.8.2021,Hertha Berlin,Wolfsburg,1,2,3.3,3.5,2.15,,,,,,,,,,,,,False
20.8.2021_RB Leipzig_Stuttgart_4_0,20.8.2021,RB Leipzig,Stuttgart,4,0,1.45,4.75,6.0,,,,,,,,,,,,,False
15.8.2021_FC Koln_Hertha Berlin_3_1,15.8.2021,FC Koln,Hertha Berlin,3,1,2.37,3.5,2.9,,,,,,,,,,,,,False
15.8.2021_Mainz_RB Leipzig_1_0,15.8.2021,Mainz,RB Leipzig,1,0,7.5,4.75,1.4,,,,,,,,,,,,,False
14.8.2021_Dortmund_Eintracht Frankfurt_5_2,14.8.2021,Dortmund,Eintracht Frankfurt,5,2,1.45,5.0,5.75,,,,,,,,,,,,,False
14.8.2021_Arminia Bielefeld_Freiburg_0_0,14.8.2021,Arminia Bielefeld,Freiburg,0,0,2.87,3.4,2.4,,,,,,,,,,,,,False
14.8.2021_Augsburg_Hoffenheim_0_4,14.8.2021,Augsburg,Hoffenheim,0,4,3.3,3.75,2.05,,,,,,,,,,,,,False
14.8.2021_Union Berlin_Bayer Leverkusen_1_1,14.8.2021,Union Berlin,Bayer Leverkusen,1,1,2.55,3.4,2.7,,,,,,,,,,,,,False
14.8.2021_Stuttgart_Greuther Furth_5_1,14.8.2021,Stuttgart,Greuther Furth,5,1,1.75,4.0,4.2,,,,,,,,,,,,,False
14.8.2021_Wolfsburg_Bochum_1_0,14.8.2021,Wolfsburg,Bochum,1,0,1.4,5.0,7.0,,,,,,,,,,,,,False
13.8.2021_B. Monchengladbach_Bayern Munich_1_1,13.8.2021,B. Monchengladbach,Bayern Munich,1,1,4.33,4.5,1.65,,,,,,,,,,,,,False
